row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ hàng không VND,Hoạt động bán hàng VND,Tổng cộng toàn Tổng Công ty VND,numeric__Dịch vụ hàng không VND,numeric__Hoạt động bán hàng VND,numeric__Tổng cộng toàn Tổng Công ty VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,21.348.270.643.814,1.248.330.298.330,22.596.600.942.144,21348270643814.0,1248330298330.0,22596600942144.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
Giá vốn hàng bán,Chi phí bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,8.120.111.413.833,603.345.534.010,8.723.456.947.843,8120111413833.0,603345534010.0,8723456947843.0
Chi phí bán hàng,Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,369.492.296.898,369.492.296.898,,369492296898.0,369492296898.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,13.228.159.229.981,275.492.467.422,13.503.651.697.403,13228159229981.0,275492467422.0,13503651697403.0
