row_label_raw,row_label_full,col_0,Nội dung,Năm nay VND,Năm trước VND,numeric__Nội dung,numeric__Năm nay VND,numeric__Năm trước VND
I.,I.,I.,Nguồn thu từ khai thác tài sản KCHTHK,3.193.501.435.515,2.748.067.748.888,,3193501435515.0,2748067748888.0
1.,1.,1.,"Doanh thu dịch vụ cắt, hạ cánh",3.267.293.311.064,2.814.851.848.707,,3267293311064.0,2814851848707.0
-,-,-,Các khoản giảm trừ doanh thu,75.434.780.138,66.784.099.819,,75434780138.0,66784099819.0
-,-,-,Doanh thu thuần,3.191.858.530.926,2.748.067.748.888,,3191858530926.0,2748067748888.0
2.,2.,2.,Lãi tiền gửi,1.343.516.390,-,,1343516390.0,
3.,3.,3.,Thu nhập khác,299.388.199,-,,299388199.0,
II.,II.,II.,Các khoản chi cho hoạt động khai thác tài sản KCHTHK,1.808.406.812.988,1.505.386.295.969,,1808406812988.0,1505386295969.0
1.,1.,1.,Chi hoạt động,1.462.133.157.356,1.194.715.932.740,,1462133157356.0,1194715932740.0
-,-,-,Chi phí nhân viên,343.262.301.421,539.264.244.123,,343262301421.0,539264244123.0
-,-,-,"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",7.436.905.935,7.924.735.397,,7436905935.0,7924735397.0
-,-,-,Chi phí khấu hao tài sản cố định phân bổ,74.431.749.170,69.356.513.104,,74431749170.0,69356513104.0
-,-,-,"Thuế, phí, lệ phí",1.583.262.325,1.273.581.402,,1583262325.0,1273581402.0
-,-,-,Chi phí sửa chữa tài sản,822.625.367.697,380.877.226.025,,822625367697.0,380877226025.0
-,-,-,"Chi phí điện, nước, thông tin liên lạc",21.172.052.557,19.638.148.585,,21172052557.0,19638148585.0
-,-,-,Chi phí dịch vụ mua ngoài khác,102.879.127.433,82.032.572.560,,102879127433.0,82032572560.0
-,-,-,Chi phí phúc lợi người lao động,26.613.651.963,31.098.361.672,,26613651963.0,31098361672.0
-,-,-,Chi phí bằng tiền khác,56.596.339.792,59.572.545.328,,56596339792.0,59572545328.0
-,-,-,Lỗ chênh lệch tỷ giá,5.532.399.063,3.678.004.544,,5532399063.0,3678004544.0
2.,2.,2.,Chi phí thuế TNDN hiện hành,346.155.663.157,310.342.985.841,,346155663157.0,310342985841.0
3.,3.,3.,Chi phí thuế TNDN hoãn lại,117.992.475,327.377.388,,117992475.0,327377388.0
III.,III.,III.,Chênh lệch còn lại (I - II),1.385.094.622.527,1.242.681.452.919,,1385094622527.0,1242681452919.0
1.,1.,1.,Nộp về Ngân sách trung ương,1.364.670.319.314,-,,1364670319314.0,
2.,2.,2.,Nộp về Ngân sách tỉnh An Giang,20.424.303.213,-,,20424303213.0,
