row_label_raw,row_label_full,col_0,Tại ngày 01/01/2025VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Tại ngày 31/12/2025VND,numeric__Tại ngày 01/01/2025VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Tại ngày 31/12/2025VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
- Thuế giá trị gia tăng,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,19.966.360.245,210.325.575.696,211.489.719.050,18.802.216.891,19966360245.0,210325575696.0,211489719050.0,18802216891.0
- Lệ phí môn bài,Thuế và các khoản phải nộp > - Lệ phí môn bài,- Lệ phí môn bài,-,29.000.000,28.000.000,1.000.000,,29000000.0,28000000.0,1000000.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,2.054.004.184.515,3.284.566.364.837,2.581.824.746.997,2.756.745.802.355,2054004184515.0,3284566364837.0,2581824746997.0,2756745802355.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,81.820.723.810,370.943.081.636,403.157.791.703,49.606.013.743,81820723810.0,370943081636.0,403157791703.0,49606013743.0
- Thuế tài nguyên,Thuế và các khoản phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,55.676.640,1.033.824.820,1.038.929.460,50.572.000,55676640.0,1033824820.0,1038929460.0,50572000.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",4.862.616.192,151.453.651.247,148.619.192.492,7.697.074.947,4862616192.0,151453651247.0,148619192492.0,7697074947.0
- Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,3.422.186.009,19.075.860.738,20.722.647.055,1.775.399.692,3422186009.0,19075860738.0,20722647055.0,1775399692.0
- Thuế nhà thầu,Thuế và các khoản phải nộp > - Thuế nhà thầu,- Thuế nhà thầu,3.486.303.248,30.976.725.236,30.528.259.952,3.934.768.532,3486303248.0,30976725236.0,30528259952.0,3934768532.0
- Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,Thuế và các khoản phải nộp > - Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,- Các khoản phải nộp từ chênh lệch thu chi hoạt động khai thác tài sản KCHTHK,1.224.360.366.081,1.385.094.622.527,1.250.000.000.000,1.359.454.988.608,1224360366081.0,1385094622527.0,1250000000000.0,1359454988608.0
- Các khoản phải nộp khác,Thuế và các khoản phải nộp > - Các khoản phải nộp khác,- Các khoản phải nộp khác,-,8.952.258.621,8.948.262.688,3.995.933,,8952258621.0,8948262688.0,3995933.0
Tổng cộng,Thuế và các khoản phải nộp > Tổng cộng,Tổng cộng,3.391.978.416.740,5.462.450.965.358,4.656.357.549.397,4.198.071.832.701,3391978416740.0,5462450965358.0,4656357549397.0,4198071832701.0
