row_label_raw,row_label_full,col_0,Nội dung,Từ ngày 01/03/2025đến ngày 31/12/2025VND,numeric__Nội dung,numeric__Từ ngày 01/03/2025đến ngày 31/12/2025VND
I.,I.,I.,Nguồn thu từ hoạt động bảo đảm an ninhhàng không,1.907.469.224.242,,1907469224242.0
1.,1.,1.,Doanh thu dịch vụ bảo đảm an ninh hàng không,1.907.469.224.242,,1907469224242.0
-,-,-,Các khoản giảm trừ doanh thu,-,,
-,- > -,-,Doanh thu thuần,1.907.469.224.242,,1907469224242.0
II.,- > II.,II.,Các khoản chi cho hoạt động bảo đảm an ninhhàng không,1.655.133.910.922,,1655133910922.0
1.,- > 1.,1.,Chi hoạt động,1.592.050.082.592,,1592050082592.0
-,- > -,-,Chi phí nhân viên,1.196.037.344.575,,1196037344575.0
-,- > -,-,"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",13.298.027.966,,13298027966.0
-,- > -,-,Chi phí khấu hao tài sản cố định phân bổ,175.625.908.326,,175625908326.0
-,- > -,-,Chi phí sửa chữa tài sản,25.863.647.843,,25863647843.0
-,- > -,-,"Chi thuê xe, tài sản (động sản)",22.042.499.620,,22042499620.0
-,- > -,-,"Chi đào tạo, huấn luyện",8.270.595.050,,8270595050.0
-,- > -,-,Chi phí dịch vụ mua ngoài khác,3.661.389.136,,3661389136.0
-,- > -,-,Chi trang phục ngành,14.227.639.930,,14227639930.0
-,- > -,-,Chăm sóc sức khỏe người lao động (Bồi dưỡng độc hại vàkhám sức khỏe),15.963.246.026,,15963246026.0
-,- > -,-,"Hoa hồng, môi giới",21.465.830.687,,21465830687.0
-,- > -,-,Chi phí phúc lợi người lao động,88.694.790.558,,88694790558.0
-,- > -,-,Chi phí bằng tiền khác,6.899.162.875,,6899162875.0
2.,- > 2.,2.,Chi phí thuế TNDN hiện hành,63.083.828.330,,63083828330.0
III.,- > III.,III.,Lợi nhuận sau thuế (I - II),252.335.313.320,,252335313320.0
