row_label_raw,row_label_full,col_0,Tại ngày 31/12/2025VND,Tại ngày 01/01/2025VND,numeric__Tại ngày 31/12/2025VND,numeric__Tại ngày 01/01/2025VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,621.228.637.427,651.418.449.049,621228637427.0,651418449049.0
Phải thu khác,Phải thu khác,Phải thu khác,621.228.637.427,651.418.449.049,621228637427.0,651418449049.0
- Tài sản khí tượng bàn giao cho Tổng Công ty Quản lý Bay Việt Nam,- Tài sản khí tượng bàn giao cho Tổng Công ty Quản lý Bay Việt Nam,- Tài sản khí tượng bàn giao cho Tổng Công ty Quản lý Bay Việt Nam,351.271.655.117,52.411.366.089,351271655117.0,52411366089.0
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,114.300.629.910,468.435.551.237,114300629910.0,468435551237.0
- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,68.398.481.485,68.398.481.485,68398481485.0,68398481485.0
"- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",34.935.250.000,-,34935250000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,19.215.077.225,12.134.502.170,19215077225.0,12134502170.0
- Thuế GTGT đầu vào chưa kê khai khấu trừ,- Thuế GTGT đầu vào chưa kê khai khấu trừ,- Thuế GTGT đầu vào chưa kê khai khấu trừ,10.395.599.916,24.947.925.206,10395599916.0,24947925206.0
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,22.711.943.774,25.090.622.862,22711943774.0,25090622862.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,265.521.804.717,265.501.804.717,265521804717.0,265501804717.0
- Chi phí đến bù giải phóng mặt bằng đối với diện tích đất không được giao sử dụng tại Phú Quốc,- Chi phí đến bù giải phóng mặt bằng đối với diện tích đất không được giao sử dụng tại Phú Quốc,- Chi phí đến bù giải phóng mặt bằng đối với diện tích đất không được giao sử dụng tại Phú Quốc,184.565.128.906,184.565.128.906,184565128906.0,184565128906.0
- Khoản ứng trước cho Trung tâm phát triển quỹ đất Sóc Sơn tiền giải phóng mặt bằng Nhà ga Quốc tế T2 Nội Bài,- Khoản ứng trước cho Trung tâm phát triển quỹ đất Sóc Sơn tiền giải phóng mặt bằng Nhà ga Quốc tế T2 Nội Bài,- Khoản ứng trước cho Trung tâm phát triển quỹ đất Sóc Sơn tiền giải phóng mặt bằng Nhà ga Quốc tế T2 Nội Bài,80.936.675.811,80.936.675.811,80936675811.0,80936675811.0
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",20.000.000,-,20000000.0,
,,,886.750.442.144,916.920.253.766,886750442144.0,916920253766.0
