row_label_raw,row_label_full,col_0,Tại ngày 01/01/2025VND,Tại ngày 01/01/2025VND_1,Số phải thu trong nămVND,Số phải thu trong nămVND_1,Số đã thu trong nămVND,Số đã thu trong nămVND_1,Tại ngày 31/12/2025VND,numeric__Tại ngày 01/01/2025VND,numeric__Tại ngày 01/01/2025VND_1,numeric__Số phải thu trong nămVND,numeric__Số phải thu trong nămVND_1,numeric__Số đã thu trong nămVND,numeric__Số đã thu trong nămVND_1,numeric__Tại ngày 31/12/2025VND
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,,,,
- Thuế giá trị gia tăng,Thuế và các khoản phải thu > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,446.958.286,446.958.286,774.759.563,774.759.563,102.284.246,102.284.246,1.119.433.603,446958286.0,446958286.0,774759563.0,774759563.0,102284246.0,102284246.0,1119433603.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,628.979.666,628.979.666,-,-,-,-,628.979.666,628979666.0,628979666.0,,,,,628979666.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,199.236.175,199.236.175,914.044.829,914.044.829,112,112,1.113.280.892,199236175.0,199236175.0,914044829.0,914044829.0,112.0,112.0,1113280892.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải thu > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",3.620.732.976,3.620.732.976,14.951.242.349,14.951.242.349,2.269.180.858,2.269.180.858,16.302.794.467,3620732976.0,3620732976.0,14951242349.0,14951242349.0,2269180858.0,2269180858.0,16302794467.0
- Lệ phí môn bài,Thuế và các khoản phải thu > - Lệ phí môn bài,- Lệ phí môn bài,4.040.600,4.040.600,-,-,-,-,4.040.600,4040600.0,4040600.0,,,,,4040600.0
Tổng cộng,Thuế và các khoản phải thu > Tổng cộng,Tổng cộng,4.899.947.703,4.899.947.703,16.640.046.741,16.640.046.741,2.371.465.216,2.371.465.216,19.168.529.228,4899947703.0,4899947703.0,16640046741.0,16640046741.0,2371465216.0,2371465216.0,19168529228.0
19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,19. VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,,
,,,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Tại ngày 31/12/2025Giá trịVND,,,,,,,
,,,Giá trịVND,Phân loại vay dài hạn đến hạn trảVND,Phân loại vay dài hạn đến hạn trảVND,Trả gốc vayVND,Trả gốc vayVND,Đánh giá chênh lệch tỷ giá cuối nămVND,Tại ngày 31/12/2025Giá trịVND,,,,,,,
a. Vay dài hạn đến hạn trả,19. VAY VÀ NỘ THUÊ TÀI CHÍNH > a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,395.932.592.937,395.932.592.938,395.932.592.938,(420.843.433.716),(420.843.433.716),40.553.106.601,411.574.858.760,395932592937.0,395932592938.0,395932592938.0,-420843433716.0,-420843433716.0,40553106601.0,411574858760.0
- Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),19. VAY VÀ NỘ THUÊ TÀI CHÍNH > - Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),- Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),113.261.757.991,113.261.757.992,113.261.757.992,(121.595.741.346),(121.595.741.346),13.173.542.109,118.101.316.746,113261757991.0,113261757992.0,113261757992.0,-121595741346.0,-121595741346.0,13173542109.0,118101316746.0
- Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),19. VAY VÀ NỘ THUÊ TÀI CHÍNH > - Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),- Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),63.654.578.946,63.654.578.946,63.654.578.946,(66.898.124.370),(66.898.124.370),5.676.204.492,66.087.238.014,63654578946.0,63654578946.0,63654578946.0,-66898124370.0,-66898124370.0,5676204492.0,66087238014.0
- Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),19. VAY VÀ NỘ THUÊ TÀI CHÍNH > - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),- Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),105.282.944.000,105.282.944.000,105.282.944.000,(110.647.680.000),(110.647.680.000),9.388.288.000,109.306.496.000,105282944000.0,105282944000.0,105282944000.0,-110647680000.0,-110647680000.0,9388288000.0,109306496000.0
