row_label_raw,row_label_full,col_0,Tại ngày 01/01/2025 > Giá trịVND,Tại ngày 01/01/2025 > Phân loại vaydài hạn đến hạn trảVND,Phát sinh trong năm > Trả gốc vayVND,Phát sinh trong năm > Đánh giá chênh lệch tỷgiá cuối nămVND,Tại ngày 31/12/2025 > Giá trịVND,Tại ngày 31/12/2025,numeric__Tại ngày 01/01/2025 > Giá trịVND,numeric__Tại ngày 01/01/2025 > Phân loại vaydài hạn đến hạn trảVND,numeric__Phát sinh trong năm > Trả gốc vayVND,numeric__Phát sinh trong năm > Đánh giá chênh lệch tỷgiá cuối nămVND,numeric__Tại ngày 31/12/2025 > Giá trịVND,numeric__Tại ngày 31/12/2025
b. Dải hạn,b. Dải hạn,b. Dải hạn,9.346.256.069.500,(395.932.592.938),-,349.716.837.631,9.300.040.314.193,,9346256069500.0,-395932592938.0,,349716837631.0,9300040314193.0,
- Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),- Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),- Hiệp định vay vốn VNIX-2: Dự án xây dựng nhà ga hành khách Quốc tế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (1),1.812.188.127.828,(113.261.757.992),-,72.593.381.323,1.771.519.751.159,,1812188127828.0,-113261757992.0,,72593381323.0,1771519751159.0,
- Hiệp định vay vốn VN17-6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),- Hiệp định vay vốn VN17-6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),- Hiệp định vay vốn VN17-6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (2),1.559.537.189.672,(63.654.578.946),-,57.167.488.308,1.553.050.099.034,,1559537189672.0,-63654578946.0,,57167488308.0,1553050099034.0,
- Hiệp định vay vốn số VN11-P6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),- Hiệp định vay vốn số VN11-P6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),- Hiệp định vay vốn số VN11-P6: Dự án xây dựng nhà ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (3),2.789.998.016.000,(105.282.944.000),-,102.600.576.000,2.787.315.648.000,,2789998016000.0,-105282944000.0,,102600576000.0,2787315648000.0,
- Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (4),- Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (4),- Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng HKQT Nội Bài bằng nguồn vốn ODA (4),3.184.532.736.000,(113.733.312.000),-,117.355.392.000,3.188.154.816.000,,3184532736000.0,-113733312000.0,,117355392000.0,3188154816000.0,
Cộng,Cộng,Cộng,9.742.188.662.437,-,(420.843.433.716),390.269.944.232,9.711.615.172.953,,9742188662437.0,,-420843433716.0,390269944232.0,9711615172953.0,
Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025:,,,,,,
,,,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,,,
,,,JPY,VND,JPY,VND,,,,,,,,
- Trong vòng một năm,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025: > - Trong vòng một năm,- Trong vòng một năm,"2.531.502.349,44",411.574.858.760,"2.531.502.349,44",411.574.858.760,,,2531502349.44,411574858760.0,2531502349.44,411574858760.0,,
- Trong năm thứ hai,Các khoản vay dài hạn theo nguyên tệ Yên Nhật và tương đương đồng Việt Nam được hoàn trả theo lịch biểu tại ngày 31/12/2025 và 01/01/2025: > - Trong năm thứ hai,- Trong năm thứ hai,"2.531.502.349,44",411.574.858.760,"2.531.502.349,44",411.574.858.760,,,2531502349.44,411574858760.0,2531502349.44,411574858760.0,,
