row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmvi tính,VNDTổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmvi tính,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,281.743.975,16.296.058.455,16.577.802.430,281743975.0,16296058455.0,16577802430.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,2.898.114.616,2.898.114.616,,2898114616.0,2898114616.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,281.743.975,19.194.173.071,19.475.917.046,281743975.0,19194173071.0,19475917046.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,5.389.054.555,5.389.054.555,,5389054555.0,5389054555.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(9.287.072.855),(9.287.072.855),,-9287072855.0,-9287072855.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(3.694.071.289),(3.694.071.289),,-3694071289.0,-3694071289.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(12.981.144.144),(12.981.144.144),,-12981144144.0,-12981144144.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,281.743.975,7.008.985.600,7.290.729.575,281743975.0,7008985600.0,7290729575.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,281.743.975,6.213.028.927,6.494.772.902,281743975.0,6213028927.0,6494772902.0
