row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.505.407.376,540.130.109,9.081.939.729,9.074.199.270,20.201.676.484,1505407376.0,540130109.0,9081939729.0,9074199270.0,20201676484.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,-,4.927.871.727,4.927.871.727,,,,4927871727.0,4927871727.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,(8.291.576.638),-,(8.291.576.638),,,-8291576638.0,,-8291576638.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.505.407.376,540.130.109,790.363.091,14.002.070.997,16.837.971.573,1505407376.0,540130109.0,790363091.0,14002070997.0,16837971573.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,506.130.109,948.383.055,2.919.610.816,4.374.123.980,,506130109.0,948383055.0,2919610816.0,4374123980.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(733.040.316),(511.796.779),(3.902.665.457),(5.284.533.387),(10.432.035.939),-733040316.0,-511796779.0,-3902665457.0,-5284533387.0,-10432035939.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,3.601.086.816,-,3.601.086.816,,,3601086816.0,,3601086816.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(120.871.907),(6.799.992),(424.409.473),(2.448.597.090),(3.000.678.462),-120871907.0,-6799992.0,-424409473.0,-2448597090.0,-3000678462.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(853.912.223),(518.596.771),(725.988.114),(7.733.130.477),(9.831.627.585),-853912223.0,-518596771.0,-725988114.0,-7733130477.0,-9831627585.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,772.367.060,28.333.330,5.179.274.272,3.789.665.883,9.769.640.545,772367060.0,28333330.0,5179274272.0,3789665883.0,9769640545.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,651.495.153,21.533.338,64.374.977,6.268.940.520,7.006.343.988,651495153.0,21533338.0,64374977.0,6268940520.0,7006343988.0
