row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__VNDGiá trị cam kết còn lại
Dự án Long An,Dự án Long An,Dự án Long An,224.252.264.121,201.853.482.038,22.398.782.083,224252264121.0,201853482038.0,22398782083.0
Dự án Akari,Dự án Akari,Dự án Akari,208.017.300.035,125.835.703.654,82.181.596.381,208017300035.0,125835703654.0,82181596381.0
Dự án Southgate,Dự án Southgate,Dự án Southgate,99.899.583.257,60.451.602.198,39.447.981.059,99899583257.0,60451602198.0,39447981059.0
Dự án ERP,Dự án ERP,Dự án ERP,78.609.076.000,17.955.917.600,60.653.158.400,78609076000.0,17955917600.0,60653158400.0
Dự án Mc Kinsey,Dự án Mc Kinsey,Dự án Mc Kinsey,60.410.461.248,58.215.700.786,2.194.760.462,60410461248.0,58215700786.0,2194760462.0
Dự án Ehome,Dự án Ehome,Dự án Ehome,57.236.785.100,23.424.763.464,33.812.021.636,57236785100.0,23424763464.0,33812021636.0
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,54.282.698.604,25.241.170.572,29.041.528.032,54282698604.0,25241170572.0,29041528032.0
Dự án Novia,Dự án Novia,Dự án Novia,15.331.883.221,10.774.050.016,4.557.833.205,15331883221.0,10774050016.0,4557833205.0
Dự án Izumi City,Dự án Izumi City,Dự án Izumi City,14.244.968.574,8.141.585.926,6.103.382.648,14244968574.0,8141585926.0,6103382648.0
Khác,Khác,Khác,168.759.455.095,104.704.841.093,64.054.614.002,168759455095.0,104704841093.0,64054614002.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,981.044.475.255,636.598.817.347,344.445.657.908,981044475255.0,636598817347.0,344445657908.0
