row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),Vay ngắn hạn (TM số 20),,,,
Nam Khang,Vay ngắn hạn (TM số 20) > Nam Khang,Nam Khang,Công ty con,Vay,380.000.000.000,40.000.000.000,,,380000000000.0,40000000000.0
Nam Long ADC,Vay ngắn hạn (TM số 20) > Nam Long ADC,Nam Long ADC,Công ty con,Vay,154.000.000.000,154.000.000.000,,,154000000000.0,154000000000.0
Kikyo Valora,Vay ngắn hạn (TM số 20) > Kikyo Valora,Kikyo Valora,Công ty con,Vay,100.000.000.000,-,,,100000000000.0,
Nam Long - Hồng Phát,Vay ngắn hạn (TM số 20) > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Vay,34.020.552.171,57.114.550.326,,,34020552171.0,57114550326.0
Vận tải Nam Long,Vay ngắn hạn (TM số 20) > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Vay,15.000.000.000,15.000.000.000,,,15000000000.0,15000000000.0
Nam Phan,Vay ngắn hạn (TM số 20) > Nam Phan,Nam Phan,Công ty con,Vay,-,289.426.165.000,,,,289426165000.0
Nguyên Sơn,Vay ngắn hạn (TM số 20) > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,-,197.268.439.348,,,,197268439348.0
Nam Long VCD,Vay ngắn hạn (TM số 20) > Nam Long VCD,Nam Long VCD,Công ty con,Vay,-,74.000.000.000,,,,74000000000.0
,,,,,683.020.552.171,826.809.154.674,,,683020552171.0,826809154674.0
Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),Vay dài hạn (TM số 20),,,,
Nam Phan,Vay dài hạn (TM số 20) > Nam Phan,Nam Phan,Công ty con,Vay,210.542.091.910,-,,,210542091910.0,
Nguyên Sơn,Vay dài hạn (TM số 20) > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,166.700.000.000,-,,,166700000000.0,
Nam Long - Hồng Phát,Vay dài hạn (TM số 20) > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Vay,20.000.000.000,-,,,20000000000.0,
,,,,,397.242.091.910,-,,,397242091910.0,
Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),Chi phí phải trả ngắn hạn (TM số 18),,,,
Nguyên Sơn,Chi phí phải trả ngắn hạn (TM số 18) > Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,54.126.290.794,42.694.476.696,,,54126290794.0,42694476696.0
Nam Khang,Chi phí phải trả ngắn hạn (TM số 18) > Nam Khang,Nam Khang,Công ty con,Lãi vay,29.861.666.666,916.111.111,,,29861666666.0,916111111.0
Nam Long ADC,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,24.709.777.000,14.651.999.000,,,24709777000.0,14651999000.0
Nam Phan,Chi phí phải trả ngắn hạn (TM số 18) > Nam Phan,Nam Phan,Công ty con,Lãi vay,7.965.994.056,103.900.615.092,,,7965994056.0,103900615092.0
Nam Long - Hồng Phát,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Lãi vay,4.797.388.564,10.098.015.180,,,4797388564.0,10098015180.0
Kikyo Valora,Chi phí phải trả ngắn hạn (TM số 18) > Kikyo Valora,Kikyo Valora,Công ty con,Lãi vay,3.550.000.000,-,,,3550000000.0,
Vận tải Nam Long,Chi phí phải trả ngắn hạn (TM số 18) > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Lãi vay,1.425.000.000,512.500.000,,,1425000000.0,512500000.0
Nam Long VCD,Chi phí phải trả ngắn hạn (TM số 18) > Nam Long VCD,Nam Long VCD,Công ty con,Lãi vay,-,10.697.833.334,,,,10697833334.0
,,,,,126.436.117.080,183.471.550.413,,,126436117080.0,183471550413.0
