row_label_raw,row_label_full,Ông Nguyễn Xuân Quang,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Thanh Phong,Ông Trần Thanh Phong,Ông Trần Thanh Phong,Phó chủ tịch,,,
Ông Joseph Low Kar Yew,Ông Joseph Low Kar Yew,Ông Joseph Low Kar Yew,Thành viên,bổ nhiệm ngày 24 tháng 4 năm 2021,,
Ông Nguyễn Đức Thuấn,Ông Nguyễn Đức Thuấn,Ông Nguyễn Đức Thuấn,Thành viên,bổ nhiệm ngày 24 tháng 4 năm 2021,,
Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Thành viên,,,
Ông Bùi Đức Khang,Ông Bùi Đức Khang,Ông Bùi Đức Khang,Thành viên,miễn nhiệm ngày 24 tháng 4 năm 2021,,
Ông Linson Lim Soon Kooi,Ông Linson Lim Soon Kooi,Ông Linson Lim Soon Kooi,Thành viên,miễn nhiệm ngày 24 tháng 4 năm 2021,,
Ông Kenneth Michael Atkinson,Ông Kenneth Michael Atkinson,Ông Kenneth Michael Atkinson,Thành viên độc lập,bổ nhiệm ngày 24 tháng 4 năm 2021,,
Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Thành viên độc lập,,,
Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Thành viên độc lập,,,
Ông Ngian Siew Siong,Ông Ngian Siew Siong,Ông Ngian Siew Siong,Thành viên độc lập,,,
Ông Lai Voon Hon,Ông Lai Voon Hon,Ông Lai Voon Hon,Thành viên độc lập,miễn nhiệm ngày 24 tháng 4 năm 2021,,
