row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu và biểu quyết (%),numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu và biểu quyết (%)
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Công ty Cổ phần Nam Long VCD,Công ty con > Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Tỉnh Long An,Xây dựng và bắt động sản,"99,92",,,99.92
"Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyễn Sơn"")","Công ty con > Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyễn Sơn"")","Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyễn Sơn"")","Tp. Hồ Chí Minh (""TPHCM"")",Bắt động sản,"87,33",,,87.33
Công ty Cổ phần Đầu tư Nam Phan,Công ty con > Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Bắt động sản,100,,,100.0
Công ty TNHH Paragon Đại Phước,Công ty con > Công ty TNHH Paragon Đại Phước,Công ty TNHH Paragon Đại Phước,TPHCM,Bắt động sản,100,,,100.0
Công ty TNHH Phát triển Cần hộ Nam Long,Công ty con > Công ty TNHH Phát triển Cần hộ Nam Long,Công ty TNHH Phát triển Cần hộ Nam Long,TPHCM,Xây dựng và bắt động sản,100,,,100.0
Công ty Cổ phần Nam Long - Hồng Phát,Công ty con > Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Tp. Cần Thơ,Xây dựng và bắt động sản,"99,98",,,99.98
Công ty Cổ phần NLG – NNR – HR – Fuji (*),Công ty con > Công ty Cổ phần NLG – NNR – HR – Fuji (*),Công ty Cổ phần NLG – NNR – HR – Fuji (*),TPHCM,Xây dựng và bắt động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Flora,Công ty con > Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,TPHCM,Bắt động sản,100,,,100.0
Công ty TNHH NNH Kikyo Valora (*),Công ty con > Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),TPHCM,Bắt động sản,"50,00",,,50.0
Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyễn Phúc,Công ty con > Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyễn Phúc,Công ty TNHH Đầu tư và Kinh doanh Bắt động sản Nguyễn Phúc,TPHCM,Bắt động sản,100,,,100.0
Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty con > Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,TPHCM,Xây dựng và bắt động sản,100,,,100.0
Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty con > Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,TPHCM,Dịch vụ,"81,25",,,81.25
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty con > Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,TPHCM,Kinh doanh thương mại vật liệu xây dựng,100,,,100.0
"Công ty Cổ phần 6D (""6D"")","Công ty con > Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")",TPHCM,Xây dựng và bắt động sản,"76,03",,,76.03
Công ty TNHH Một Thành Viên Sản giao dịch Bắt động sản Nam Long,Công ty con > Công ty TNHH Một Thành Viên Sản giao dịch Bắt động sản Nam Long,Công ty TNHH Một Thành Viên Sản giao dịch Bắt động sản Nam Long,TPHCM,Sản giao dịch bắt động sản,100,,,100.0
Công ty TNHH MTV Dịch vụ Nam Long,Công ty con > Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,TPHCM,Dịch vụ và xây dựng,100,,,100.0
Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long,Công ty con > Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long,Công ty TNHH Một Thành Viên Dịch vụ Vận tải Nam Long,TPHCM,Dịch vụ vận tải,100,,,100.0
Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,Công ty con > Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long,TPHCM,Xây dựng và bắt động sản,100,,,100.0
"Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long (""Nam Long CMI"")","Công ty con > Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long (""Nam Long CMI"")","Công ty TNHH Quản lý Xây dựng và Đầu tư Nam Long (""Nam Long CMI"")",TPHCM,Dịch vụ quản lý,100,,,100.0
"Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")","Công ty con > Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")","Công ty TNHH Thành phố Waterfront Đồng Nai (""Đồng Nai Waterfront"")",Tỉnh Đồng Nai,Bắt động sản,"65,10",,,65.1
"Công ty Cổ phần Southgate (""Southgate"") (*)","Công ty con > Công ty Cổ phần Southgate (""Southgate"") (*)","Công ty Cổ phần Southgate (""Southgate"") (*)",TPHCM,Bắt động sản,"50,00",,,50.0
"Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")","Công ty con > Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")","Công ty TNHH Đầu tư Nam Phát Land (""Nam Phát Land"")",TPHCM,Bắt động sản,"90,00",,,90.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
"Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty liên doanh > Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty Cổ phần NNH Mizuki (""NNH Mizuki"")",TPHCM,Bắt động sản,"50,00",,,50.0
