row_label_raw,row_label_full,Bên cho vay > Nam Phan > Nguyên Sơn > Nam Long Hồng Phát,Số cuối nămVND > 210.542.091.910 > 166.700.000.000 > 20.000.000.000,Số cuối nămVND > 210.542.091.910 > 166.700.000.000 > 20.000.000.000_1,Ngày đáo hạn > Ngày 15 tháng 5 năm 2023 > Ngày 22 tháng 4 năm 2023 > Ngày 23 tháng 8 năm 2023,Mục đích vay > Hỗ trợ nhu cầu vốn lưu động,Lãi suất(%/năm) > 6%,Hình thứcđảm bảo > Tín chấp,numeric__Số cuối nămVND > 210.542.091.910 > 166.700.000.000 > 20.000.000.000,numeric__Số cuối nămVND > 210.542.091.910 > 166.700.000.000 > 20.000.000.000_1,numeric__Ngày đáo hạn > Ngày 15 tháng 5 năm 2023 > Ngày 22 tháng 4 năm 2023 > Ngày 23 tháng 8 năm 2023,numeric__Mục đích vay > Hỗ trợ nhu cầu vốn lưu động,numeric__Lãi suất(%/năm) > 6%,numeric__Hình thứcđảm bảo > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,397.242.091.910,397.242.091.910,,,,Tín chấp,397242091910.0,397242091910.0,,,,
20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,20.4 Vay dài hạn ngân hàngChi tiết các khoản vay dài hạn ngân hàng như sau:,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối nămVND,Ngày đáo hạn,Mục đích vay,Lãi suất(%/năm),,Hình thứcđảm bảo,,,,,,
Ngân hàng TMCPPhương Đông,Bên cho vay > Ngân hàng TMCPPhương Đông,Ngân hàng TMCPPhương Đông,39.486.819.051,Ngày 10 tháng 5năm 2023,Tài trợ đầu tư pháttriển dự án Cần Thơ,"9,4%","Thừa 2479, Tờ bản đồ số 5;thừa 779, Tờ bản đồ số 6 vàthừa 226, Tờ bản đồ số 5, Xã AnThanh, Huyện Bến Lức, TĩnhLong An (TM số 10)","Thừa 2479, Tờ bản đồ số 5;thừa 779, Tờ bản đồ số 6 vàthừa 226, Tờ bản đồ số 5, Xã AnThanh, Huyện Bến Lức, TĩnhLong An (TM số 10)",39486819051.0,,,0.094,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,39.486.819.051,,,,,,39486819051.0,,,,,
Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Bên cho vay > Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,23.692.091.43015.794.727.621,,,,,,2.369209143015795e+21,,,,,
