row_label_raw,row_label_full,Bên liên quan > Vận tảiNam Long,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Thanh lý tài sản > Lãi vay > Dịch vụ > Vay > Góp vốn,Năm nay > 5.439.206.771 > 912.500.000 > 574.505.453 > -,Năm trước > - > 512.500.000 > 975.403.636 > 15.000.000.000 > 12.000.000.000,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Thanh lý tài sản > Lãi vay > Dịch vụ > Vay > Góp vốn,numeric__Năm nay > 5.439.206.771 > 912.500.000 > 574.505.453 > -,numeric__Năm trước > - > 512.500.000 > 975.403.636 > 15.000.000.000 > 12.000.000.000
Waterfront ĐồngNai,Waterfront ĐồngNai,Waterfront ĐồngNai,Công ty con,Doanh thu từ dịch vụ quản lý dự án (*),2.438.903.000,-,,,2438903000.0,
Kikyo Flora,Kikyo Flora,Kikyo Flora,Công ty con,Dịch vụ tư vấn quản lý (*),-,12.588.348.948,,,,12588348948.0
(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),(*) Doanh thu cho bên liên quan (TM số 24.1),577.842.929.093,650.876.687.350,,,577842929093.0,650876687350.0
