row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),,,,
Southgate,Phải thu ngắn hạn của khách hàng (TM số 7) > Southgate,Southgate,Công ty con,Dịch vụ quản lý dự án,39.360.504.000,-,,,39360504000.0,
Nguyên Sơn,Phải thu ngắn hạn của khách hàng (TM số 7) > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,27.649.371.302,25.679.365.900,,,27649371302.0,25679365900.0
Nam Long PMD,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long PMD,Nam Long PMD,Công ty con,Doanh thu bán trung tâm thương mại,21.595.105.325,21.595.105.325,,,21595105325.0,21595105325.0
Nam Long VCD,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lý,16.652.408.048,81.883.423.632,,,16652408048.0,81883423632.0
Nam Long – Hồng Phát,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Dịch vụ tư vấn quản lý,7.579.429.438,6.338.721.576,,,7579429438.0,6338721576.0
Vận tải Nam Long,Phải thu ngắn hạn của khách hàng (TM số 7) > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Thanh lý xe,5.983.127.450,-,,,5983127450.0,
Nam Long CMI,Phải thu ngắn hạn của khách hàng (TM số 7) > Nam Long CMI,Nam Long CMI,Công ty con,Dịch vụ tư vấn quản lý,1.351.964.652,-,,,1351964652.0,
Các cá nhân,Phải thu ngắn hạn của khách hàng (TM số 7) > Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,51.000.000,51.000.000,,,51000000.0,51000000.0
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 7) > NNH Mizuki,NNH Mizuki,Công ty liên doanh,Dịch vụ quản lý dự án,-,42.600.848.526,,,,42600848526.0
Các công ty khác,Phải thu ngắn hạn của khách hàng (TM số 7) > Các công ty khác,Các công ty khác,Công ty con,Dịch vụ tư vấn quản lý,3.010.349.893,5.177.095.446,,,3010349893.0,5177095446.0
,,,,,123.233.260.108,183.325.560.405,,,123233260108.0,183325560405.0
