row_label_raw,row_label_full,Southgate,Công ty con,Thu nhập cổ tức,143.385.171.233,97.107.260.274,numeric__Công ty con,numeric__Thu nhập cổ tức,numeric__143.385.171.233,numeric__97.107.260.274
Mizuki,Mizuki,Mizuki,Công ty liên doanh,Thu nhập cổ tức,4.000.000.000,51.989.041.096,,,4000000000.0,51989041096.0
Paragon,Paragon,Paragon,Công ty con,Thu nhập lãi vay,5.826.520.548,962.888.889,,,5826520548.0,962888889.0
Fuji,Fuji,Fuji,Công ty con,Thu nhập cổ tức,5.021.369.863,-,,,5021369863.0,
Nam Phan,Nam Phan,Nam Phan,Công ty con,Thu hồi vốn góp HĐHTKD,1.920.000.000,1.920.000.000,,,1920000000.0,1920000000.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu khác,519.633.333,3.193.740.164,,,519633333.0,3193740164.0
,,,,,160.672.694.977,155.172.930.423,,,160672694977.0,155172930423.0
