row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh,Trái chủ > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quỹ Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Arventus Limited > Bà Khuất Thu Huyền,Số tiền (VND) > 270.000.000.000 > 72.000.000.000 > 46.000.000.000 > 41.000.000.000 > 8.000.000.000 > 5.000.000.000 > 4.000.000.000,"Lãi suất (%/năm) > 10,5%",Ngày đáo hạn > Ngày 17 tháng 6 năm 2023,Mục đích > Tài trợ và đầu tư cho các dự án,"Tải sân thế chấp > Quyền sử dụng đất tại xã An Thạnh, Huyện Bến Lức, Tĩnh Long An sở hữu bởi VCD",numeric__Trái chủ > Công ty TNHH Manulife (Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quỹ Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam) > Công ty TNHH Bảo hiểm Nhân thọ Generali Việt Nam > Arventus Limited > Bà Khuất Thu Huyền,numeric__Số tiền (VND) > 270.000.000.000 > 72.000.000.000 > 46.000.000.000 > 41.000.000.000 > 8.000.000.000 > 5.000.000.000 > 4.000.000.000,"numeric__Lãi suất (%/năm) > 10,5%",numeric__Ngày đáo hạn > Ngày 17 tháng 6 năm 2023,numeric__Mục đích > Tài trợ và đầu tư cho các dự án,"numeric__Tải sân thế chấp > Quyền sử dụng đất tại xã An Thạnh, Huyện Bến Lức, Tĩnh Long An sở hữu bởi VCD"
Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,Trừ:Chỉ phí phát hành,(43.330.695.682),,,,,,-43330695682.0,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,2.016.669.304.318,,,,,,2016669304318.0,,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,2.016.669.304.318,,,,,,2016669304318.0,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,-,,,,,,,,,,
