row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Khoản vốn nhận từ nhà đầu tư vào HĐHTKD (*),Khoản vốn nhận từ nhà đầu tư vào HĐHTKD (*),Khoản vốn nhận từ nhà đầu tư vào HĐHTKD (*),989.993.724.484,56.993.724.484,989993724484.0,56993724484.0
Phải trả lợi nhuận HĐHTKD,Phải trả lợi nhuận HĐHTKD,Phải trả lợi nhuận HĐHTKD,160.211.799.117,46.734.750.400,160211799117.0,46734750400.0
Khoản phải trả kinh phí bảo trì duy tu bảo dưỡng,Khoản phải trả kinh phí bảo trì duy tu bảo dưỡng,Khoản phải trả kinh phí bảo trì duy tu bảo dưỡng,97.645.478.792,26.802.976.460,97645478792.0,26802976460.0
Phải trả cổ tức,Phải trả cổ tức,Phải trả cổ tức,21.603.408.477,14.299.334.995,21603408477.0,14299334995.0
Nhận ký quỹ,Nhận ký quỹ,Nhận ký quỹ,1.271.634.000,1.104.634.000,1271634000.0,1104634000.0
Phải trả tiền mượn từ cá nhân,Phải trả tiền mượn từ cá nhân,Phải trả tiền mượn từ cá nhân,1.080.000.000,1.080.000.000,1080000000.0,1080000000.0
Khác,Khác,Khác,14.710.379.631,13.186.819.364,14710379631.0,13186819364.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.286.516.424.501,160.202.239.703,1286516424501.0,160202239703.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả bên liên quan (TM số 29),Trong đó: > Phải trả bên liên quan (TM số 29),Phải trả bên liên quan (TM số 29),1.150.344.202.519,103.867.153.802,1150344202519.0,103867153802.0
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,136.172.221.982,56.335.085.901,136172221982.0,56335085901.0
