row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuậnsau thuế chưaphân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnsau thuế chưaphân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.852.706.600.000,988.508.364.367,(296.730.939.400),5.940.860.165,1.678.350.658.992,5.228.775.544.124,2852706600000.0,988508364367.0,-296730939400.0,5940860165.0,1678350658992.0,5228775544124.0
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),600.000.000.000,1.395.104.031.000,-,-,-,1.995.104.031.000,600000000000.0,1395104031000.0,,,,1995104031000.0
Cổ tức bằng cổ phiếu (ii),Năm nay > Cổ tức bằng cổ phiếu (ii),Cổ tức bằng cổ phiếu (ii),124.777.110.000,-,-,-,(124.777.110.000),-,124777110000.0,,,,-124777110000.0,
Phát hành cổ phiếuthường (ii),Năm nay > Phát hành cổ phiếuthường (ii),Phát hành cổ phiếuthường (ii),239.039.900.000,-,-,-,(239.039.900.000),-,239039900000.0,,,,-239039900000.0,
Phát hành cổ phiếutheo Chương trìnhlựa chọn cho cán bổquản lý cấp cao củaCông ty (ii),Năm nay > Phát hành cổ phiếutheo Chương trìnhlựa chọn cho cán bổquản lý cấp cao củaCông ty (ii),Phát hành cổ phiếutheo Chương trìnhlựa chọn cho cán bổquản lý cấp cao củaCông ty (ii),12.876.520.000,-,-,-,-,12.876.520.000,12876520000.0,,,,,12876520000.0
Tài phát hànhcổ phiếu quỹ (iii),Năm nay > Tài phát hànhcổ phiếu quỹ (iii),Tài phát hànhcổ phiếu quỹ (iii),-,47.659.060.600,296.730.939.400,-,-,344.390.000.000,,47659060600.0,296730939400.0,,,344390000000.0
Lợi nhuận thuàntrong năm,Năm nay > Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,839.118.912.288,839.118.912.288,,,,,839118912288.0,839118912288.0
Cổ tức bằng tiềncông bố (iv),Năm nay > Cổ tức bằng tiềncông bố (iv),Cổ tức bằng tiềncông bố (iv),-,-,-,-,(338.671.087.620),(338.671.087.620),,,,,-338671087620.0,-338671087620.0
Trích lập quỹ khenthường phúc lợi (v),Năm nay > Trích lập quỹ khenthường phúc lợi (v),Trích lập quỹ khenthường phúc lợi (v),-,-,-,-,(40.915.853.658),(40.915.853.658),,,,,-40915853658.0,-40915853658.0
Lương thường củaHội đồng quản trị (v),Năm nay > Lương thường củaHội đồng quản trị (v),Lương thường củaHội đồng quản trị (v),-,-,-,-,(8.350.000.000),(8.350.000.000),,,,,-8350000000.0,-8350000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.829.400.130.000,2.431.271.455.967,-,5.940.860.165,1.765.715.620.002,8.032.328.066.134,3829400130000.0,2431271455967.0,,5940860165.0,1765715620002.0,8032328066134.0
