row_label_raw,row_label_full,Công ty con,Công ty con_1,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Công ty con_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Công ty con,Công ty con,Công ty con,Công ty con,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,
Đồng Nai Waterfront,Công ty con > Đồng Nai Waterfront,Đồng Nai Waterfront,"(i), (iii)","65,10",3.416.759.118.783,-,-,,65.1,3416759118783.0,,
Paragon,Công ty con > Paragon,Paragon,"(i), (iv)",100,1.680.927.768.498,100,1.369.922.854.545,,100.0,1680927768498.0,100.0,1369922854545.0
Nam Long VCD,Công ty con > Nam Long VCD,Nam Long VCD,"(i), (v)","89,34",1.187.365.370.000,"89,33",1.008.544.090.000,,89.34,1187365370000.0,89.33,1008544090000.0
Southgate (TM số 14.2),Công ty con > Southgate (TM số 14.2),Southgate (TM số 14.2),(ii),50,975.000.000.000,-,-,,50.0,975000000000.0,,
Nam Khang,Công ty con > Nam Khang,Nam Khang,(vi),100,585.981.690.000,100,201.981.690.000,,100.0,585981690000.0,100.0,201981690000.0
NLG – NNR – HR Fuji,Công ty con > NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,"(ii), (vii)",50,485.214.839.707,50,735.214.839.707,,50.0,485214839707.0,50.0,735214839707.0
Nam Phan,Công ty con > Nam Phan,Nam Phan,(viii),"99,99",411.695.816.717,"99,99",611.686.896.717,,99.99,411695816717.0,99.99,611686896717.0
Nam Long PMD,Công ty con > Nam Long PMD,Nam Long PMD,,100,305.590.909.656,100,305.590.909.656,,100.0,305590909656.0,100.0,305590909656.0
Nam Long ADC,Công ty con > Nam Long ADC,Nam Long ADC,,100,296.804.963.000,100,296.804.963.000,,100.0,296804963000.0,100.0,296804963000.0
Kikyo Valora,Công ty con > Kikyo Valora,Kikyo Valora,(ii),50,291.500.000.000,50,291.500.000.000,,50.0,291500000000.0,50.0,291500000000.0
Nam Phát Land,Công ty con > Nam Phát Land,Nam Phát Land,(ix),90,270.000.000.000,-,-,,90.0,270000000000.0,,
Nguyên Sơn,Công ty con > Nguyên Sơn,Nguyên Sơn,,"87,33",173.967.062.800,"87,33",173.967.062.800,,87.33,173967062800.0,87.33,173967062800.0
Nam Long Hồng Phát,Công ty con > Nam Long Hồng Phát,Nam Long Hồng Phát,,"75,25",47.782.500.000,"75,25",47.782.500.000,,75.25,47782500000.0,75.25,47782500000.0
Nam Long CMI,Công ty con > Nam Long CMI,Nam Long CMI,,100,30.000.000.000,100,30.000.000.000,,100.0,30000000000.0,100.0,30000000000.0
Dịch vụ Nam Long,Công ty con > Dịch vụ Nam Long,Dịch vụ Nam Long,,100,23.874.000.000,100,23.874.000.000,,100.0,23874000000.0,100.0,23874000000.0
Vận tải Nam Long,Công ty con > Vận tải Nam Long,Vận tải Nam Long,,100,20.000.000.000,100,20.000.000.000,,100.0,20000000000.0,100.0,20000000000.0
Sản giao dịch,Công ty con > Sản giao dịch,Sản giao dịch,,100,6.000.000.000,100,6.000.000.000,,100.0,6000000000.0,100.0,6000000000.0
TỔNG CỘNG,Công ty con > TỔNG CỘNG,TỔNG CỘNG,,,10.208.464.039.161,,5.122.869.806.425,,,10208464039161.0,,5122869806425.0
