row_label_raw,row_label_full,Ngân hàng TMCP Công thương Việt Nam,Loại tiền > VND > USD,31/12/2016 VND > 1.002.653.239.460 > 312.475.969.000,1/1/2016 VND > 2.210.530.689.950 > -,numeric__Loại tiền > VND > USD,numeric__31/12/2016 VND > 1.002.653.239.460 > 312.475.969.000,numeric__1/1/2016 VND > 2.210.530.689.950 > -
Ngân hàng TMCP Quốc Tế,Ngân hàng TMCP Quốc Tế,Ngân hàng TMCP Quốc Tế,USD,259.988.320.000,241.178.000.000,,259988320000.0,241178000000.0
Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),Ngân hàng TNHH Một thành viên Standard Chartered (Việt Nam),VND,190.064.291.622,211.042.626.144,,190064291622.0,211042626144.0
Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),VND,187.402.009.496,-,,187402009496.0,
Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),USD,19.299.842.998,-,,19299842998.0,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,40.000.000.000,2.872.449.395.826,,40000000000.0,2872449395826.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,USD,113.950.000.000,-,,113950000000.0,
Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,VND,37.883.392.918,-,,37883392918.0,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VND,-,419.684.030.938,,,419684030938.0
Ngân hàng Citibank Việt Nam,Ngân hàng Citibank Việt Nam,Ngân hàng Citibank Việt Nam,VND,-,378.000.000.000,,,378000000000.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,-,211.164.081.839,,,211164081839.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,USD,-,163.865.800.000,,,163865800000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,-,210.000.000.000,,,210000000000.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,USD,-,92.414.000.000,,,92414000000.0
,,,,2.163.717.065.494,7.010.328.624.697,,2163717065494.0,7010328624697.0
