row_label_raw,row_label_full,col_0,1/1/2016(theo báo cáotrước đây),1/1/2016(điều chỉnh của Kiểmtoán Nhà nước),1/1/2016(đã điều chỉnhtheo Kiểm toánNhà nước),numeric__1/1/2016(theo báo cáotrước đây),numeric__1/1/2016(điều chỉnh của Kiểmtoán Nhà nước),numeric__1/1/2016(đã điều chỉnhtheo Kiểm toánNhà nước)
,,,VND,VND,VND,,,
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,4.905.852.906.726,15.354.556.890,4.921.207.463.616,4905852906726.0,15354556890.0,4921207463616.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.622.573.700.624,(2.696.257.544),1.619.877.443.080,1622573700624.0,-2696257544.0,1619877443080.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,5.075.325.654.209,(76.228.589.646),4.999.097.064.563,5075325654209.0,-76228589646.0,4999097064563.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(81.823.623.514),13.471.512.747,(68.352.110.767),-81823623514.0,13471512747.0,-68352110767.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,87.404.266.200,2.606.338.000,90.010.604.200,87404266200.0,2606338000.0,90010604200.0
Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,521.865.661.137,381.975.270.373,903.840.931.510,521865661137.0,381975270373.0,903840931510.0
Nhà nước,Nhà nước,Nhà nước,,,,,,
Chi phí xây dựng cơ bản dở dang,Nhà nước > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,3.701.899.091,3.367.090.877,7.068.989.968,3701899091.0,3367090877.0,7068989968.0
Dự phòng đầu tư tài chính dài hạn,Nhà nước > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(1.998.604.885.611),1.335.238.545.515,(663.366.340.096),-1998604885611.0,1335238545515.0,-663366340096.0
Phải trả người bán ngắn hạn,Nhà nước > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(6.696.980.928.281),(11.901.577.418),(6.708.882.505.699),-6696980928281.0,-11901577418.0,-6708882505699.0
Thuế và các khoản phải nộp,Nhà nước > Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,(1.843.822.041),(76.266.579.846),(78.110.401.887),-1843822041.0,-76266579846.0,-78110401887.0
Nhà nước,Nhà nước,Nhà nước,,,,,,
Phải trả ngắn hạn khác,Nhà nước > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(44.902.824.742),15.148.171.091,(29.754.653.651),-44902824742.0,15148171091.0,-29754653651.0
Lợi nhuận sau thuế,Nhà nước > Lợi nhuận sau thuế,Lợi nhuận sau thuế,(1.691.193.456.227),(1.600.068.481.039),(3.291.261.937.266),-1691193456227.0,-1600068481039.0,-3291261937266.0
chưa phân phối,chưa phân phối,chưa phân phối,,,,,,
