row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND Đã điều chỉnh lại
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,17.850.903.967.236,13.991.181.828.866,400.0,,17850903967236.0,13991181828866.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,18,17.850.903.967.236,13.991.181.828.866,410.0,18.0,17850903967236.0,13991181828866.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,19,12.938.780.810.000,10.700.000.000.000,411.0,19.0,12938780810000.0,10700000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,12.938.780.810.000,10.700.000.000.000,,,12938780810000.0,10700000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,1.390.950.518.669,164.462.417,412.0,,1390950518669.0,164462417.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.550.648.460.000),-,415.0,,-1550648460000.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,21,3.261.509.635,(244.570.817),418.0,21.0,3261509635.0,-244570817.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,5.068.559.588.932,3.291.261.937.266,421.0,,5068559588932.0,3291261937266.0
- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,1.600.068.700.502,3.291.261.937.266,,,1600068700502.0,3291261937266.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,3.468.490.888.430,-,,,3468490888430.0,
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,30.909.283.148.305,30.642.783.291.323,440.0,,30909283148305.0,30642783291323.0
