row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Bản quyền phần mềm VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Bản quyền phần mềm VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,216.496.103.958,253.443.694.795,5.860.531.000,3.555.000.000,479.355.329.753,216496103958.0,253443694795.0,5860531000.0,3555000000.0,479355329753.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,26.072.020.462,-,-,26.072.020.462,,26072020462.0,,,26072020462.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,216.496.103.958,279.515.715.257,5.860.531.000,3.555.000.000,505.427.350.215,216496103958.0,279515715257.0,5860531000.0,3555000000.0,505427350215.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.645.029.693,153.316.343.906,991.240.864,2.459.104.208,163.411.718.671,6645029693.0,153316343906.0,991240864.0,2459104208.0,163411718671.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,45.835.767.391,586.053.100,355.557.301,50.743.958.656,3966580864.0,45835767391.0,586053100.0,355557301.0,50743958656.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.611.610.557,199.152.111.297,1.577.293.964,2.814.661.509,214.155.677.327,10611610557.0,199152111297.0,1577293964.0,2814661509.0,214155677327.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,209.851.074.265,100.127.350.889,4.869.290.136,1.095.895.792,315.943.611.082,209851074265.0,100127350889.0,4869290136.0,1095895792.0,315943611082.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,205.884.493.401,80.363.603.960,4.283.237.036,740.338.491,291.271.672.888,205884493401.0,80363603960.0,4283237036.0,740338491.0,291271672888.0
