row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2016VND,1/1/2016VNDĐã điều chỉnh lại,,
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,633.392.579.596,1.611.767.326.720,633392579596.0,1611767326720.0
Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,84.069.882.551,136.900.272.234,84069882551.0,136900272234.0
Công ty LD TNHH Kho xăng dầu ngoại quan Vân Phong,Công ty LD TNHH Kho xăng dầu ngoại quan Vân Phong,Công ty LD TNHH Kho xăng dầu ngoại quan Vân Phong,15.664.782.489,13.132.815.575,15664782489.0,13132815575.0
Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,13.659.529.710,11.959.767.642,13659529710.0,11959767642.0
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,10.583.351.263,4.922.318.021,10583351263.0,4922318021.0
Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,8.698.485.992,-,8698485992.0,
Công ty Cổ phần Tin học Viễn thông Petrolimex,Công ty Cổ phần Tin học Viễn thông Petrolimex,Công ty Cổ phần Tin học Viễn thông Petrolimex,7.601.891.979,-,7601891979.0,
Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,7.338.120.665,5.309.244.956,7338120665.0,5309244956.0
Công ty TNHH MTV Dịch vụ Thương mại Vitaco,Công ty TNHH MTV Dịch vụ Thương mại Vitaco,Công ty TNHH MTV Dịch vụ Thương mại Vitaco,2.753.274.690,10.076.836.297,2753274690.0,10076836297.0
Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Cổ phần Vận tải Xăng dầu Vitaco,-,100.654.140,,100654140.0
,,,783.761.898.935,1.794.169.235.585,783761898935.0,1794169235585.0
