row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,31/12/2016 > Giá gốc VND,31/12/2016 > Dự phòng VND,31/12/2016 > Giá trị hợp lý VND,1/1/2016 > Giá gốc VND,1/1/2016 > Dự phòng VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Dự phòng VND,numeric__31/12/2016 > Giá trị hợp lý VND,numeric__1/1/2016 > Giá gốc VND,numeric__1/1/2016 > Dự phòng VND
1,1,1,Công ty CP Hóa dầu Quản đội,Hà Nội,50.000.000.000,-,(*),50.000.000.000,-,,,50000000000.0,,,50000000000.0,
2,2,2,Ngân hàng TMCP Xuất nhập khẩu Việt Nam (Eximbank),TP. Hồ Chí Minh,49.913.937.200,-,22.239.412.272,49.913.937.200,-,,,49913937200.0,,22239412272.0,49913937200.0,
3,3,3,Công ty CP Đầu tư và Phát triển Văn Phong,Khánh Hòa,3.801.690.000,-,(*),3.801.690.000,-,,,3801690000.0,,,3801690000.0,
4,4,4,Công ty CP Xăng dầu dầu khí Bình Thuận,Bình Thuận,1.697.125.000,-,(*),1.697.125.000,-,,,1697125000.0,,,1697125000.0,
5,5,5,Tổng Công ty Xuất nhập khẩu Dịch vụ và Đầu tư Việt Nam (VICOSIMEX),Đà Nẵng,500.000.000,-,(*),500.000.000,-,,,500000000.0,,,500000000.0,
,,,,,105.912.752.200,-,(*),105.912.752.200,-,,,105912752200.0,,,105912752200.0,
