row_label_raw,row_label_full,col_0,Mã số,2016 VND,2015 VND Đã điều chỉnh lại,numeric__Mã số,numeric__2016 VND,numeric__2015 VND Đã điều chỉnh lại
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ phát hành cổ phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,31,4.039.370.548.092,-,31.0,4039370548092.0,
Tiền chỉ mua lại cổ phiếu đã phát hành,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chỉ mua lại cổ phiếu đã phát hành,Tiền chỉ mua lại cổ phiếu đã phát hành,32,(497.098.935.736),-,32.0,-497098935736.0,
Tiền vay ngắn hạn và dài hạn nhận được,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền vay ngắn hạn và dài hạn nhận được,Tiền vay ngắn hạn và dài hạn nhận được,33,41.413.331.989.344,62.278.668.880.197,33.0,41413331989344.0,62278668880197.0
Tiền chỉ trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chỉ trả nợ gốc vay,Tiền chỉ trả nợ gốc vay,34,(46.555.223.841.381),(66.288.119.651.390),34.0,-46555223841381.0,-66288119651390.0
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,(93.035.083.760),-,36.0,-93035083760.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.692.655.323.441),(4.009.450.771.193),40.0,-1692655323441.0,-4009450771193.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,461.870.766.559,1.377.065.865.125,50.0,461870766559.0,1377065865125.0
Tiền và các khoản tương đương tiền đầu năm (Thuyết minh 4),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm (Thuyết minh 4),Tiền và các khoản tương đương tiền đầu năm (Thuyết minh 4),60,7.778.553.550.138,6.401.720.318.395,60.0,7778553550138.0,6401720318395.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(388.965.397),(232.633.382),61.0,-388965397.0,-232633382.0
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 4),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 4),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 4),70,8.240.035.351.300,7.778.553.550.138,70.0,8240035351300.0,7778553550138.0
