row_label_raw,row_label_full,col_0,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,325.284.203.517,4.713.132.603,329.997.336.120,325284203517.0,4713132603.0,329997336120.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,1.060.847.273,1.060.847.273,,1060847273.0,1060847273.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(54.214.033.920),(4.235.429.035),(58.449.462.955),-54214033920.0,-4235429035.0,-58449462955.0
Thanh lý,Thanh lý,Thanh lý,-,(1.585.452),(1.585.452),,-1585452.0,-1585452.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,271.070.169.597,1.536.965.389,272.607.134.986,271070169597.0,1536965389.0,272607134986.0
