row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,3.912.740.977.822,3.800.250.191.250,3912740977822.0,3800250191250.0
Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,782.548.195.564,836.055.042.075,782548195564.0,836055042075.0
Chỉ phí không được khấu trừ thuế,Chỉ phí không được khấu trừ thuế,Chỉ phí không được khấu trừ thuế,3.154.385.934,626.196.215,3154385934.0,626196215.0
Cổ tức điều chuyển từ nước ngoài,Cổ tức điều chuyển từ nước ngoài,Cổ tức điều chuyển từ nước ngoài,-,1.958.684.063,,1958684063.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(340.414.620.713),(356.735.158.926),-340414620713.0,-356735158926.0
Ảnh hưởng do chênh lệch thuế suất của biến động chênh lệch tạm thời,Ảnh hưởng do chênh lệch thuế suất của biến động chênh lệch tạm thời,Ảnh hưởng do chênh lệch thuế suất của biến động chênh lệch tạm thời,-,169.265.353,,169265353.0
Biến động chênh lệch tạm thời được khấu trừ chưa ghi nhận,Biến động chênh lệch tạm thời được khấu trừ chưa ghi nhận,Biến động chênh lệch tạm thời được khấu trừ chưa ghi nhận,(1.037.871.393),1.692.653.520,-1037871393.0,1692653520.0
Thu nhập đã nộp ở nước ngoài,Thu nhập đã nộp ở nước ngoài,Thu nhập đã nộp ở nước ngoài,-,(3.705.863.265),,-3705863265.0
Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,-,(334.882.432.066),,-334882432066.0
,,,444.250.089.392,145.178.386.969,444250089392.0,145178386969.0
