row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,10.700.000.000.000,4.325.862.417,-,(244.570.817),58.551.501.679,10.762.632.793.279,10700000000000.0,4325862417.0,,-244570817.0,58551501679.0,10762632793279.0
Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,-,-,-,-,3.655.071.804.281,3.655.071.804.281,,,,,3655071804281.0,3655071804281.0
Lợi nhuận thuần trong năm – đã báo cáo trước đây,Lợi nhuận thuần trong năm – đã báo cáo trước đây,Lợi nhuận thuần trong năm – đã báo cáo trước đây,-,-,-,-,2.055.003.323.242,2.055.003.323.242,,,,,2055003323242.0,2055003323242.0
Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35,Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35,Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35,-,-,-,-,1.600.068.481.039,1.600.068.481.039,,,,,1600068481039.0,1600068481039.0
Bù trừ phải thu về cổ phần hóa,Bù trừ phải thu về cổ phần hóa,Bù trừ phải thu về cổ phần hóa,-,-,-,-,(416.198.842.693),(416.198.842.693),,,,,-416198842693.0,-416198842693.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,(6.000.000.000),(6.000.000.000),,,,,-6000000000.0,-6000000000.0
Biến động khác,Biến động khác,Biến động khác,-,(4.161.400.000),-,-,(162.526.001),(4.323.926.001),,-4161400000.0,,,-162526001.0,-4323926001.0
Số dư tại ngày 1 tháng 1 năm 2016 - đã báo cáo trước đây,Số dư tại ngày 1 tháng 1 năm 2016 - đã báo cáo trước đây,Số dư tại ngày 1 tháng 1 năm 2016 - đã báo cáo trước đây,10.700.000.000.000,164.462.417,-,(244.570.817),1.691.193.456.227,12.391.113.347.827,10700000000000.0,164462417.0,,-244570817.0,1691193456227.0,12391113347827.0
Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),-,-,-,-,1.600.068.481.039,1.600.068.481.039,,,,,1600068481039.0,1600068481039.0
Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,10.700.000.000.000,164.462.417,-,(244.570.817),3.291.261.937.266,13.991.181.828.866,10700000000000.0,164462417.0,,-244570817.0,3291261937266.0,13991181828866.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,1.035.284.760.000,3.004.085.788.092,-,-,-,4.039.370.548.092,1035284760000.0,3004085788092.0,,,,4039370548092.0
