row_label_raw,row_label_full,col_0,2015(theo báo cáotrước đây),2015(điều chỉnh củaKiểm toán Nhà nước),2015(đã điều chỉnhtheo Kiểm toánNhà nước),numeric__2015(theo báo cáotrước đây),numeric__2015(điều chỉnh củaKiểm toán Nhà nước),numeric__2015(đã điều chỉnhtheo Kiểm toánNhà nước)
,,,VND,VND,VND,,,
Giá vốn hàng bán và dịch vựcung cấp,Giá vốn hàng bán và dịch vựcung cấp,Giá vốn hàng bán và dịch vựcung cấp,102.209.851.725.044,(319.218.193.474),101.890.633.531.570,102209851725044.0,-319218193474.0,101890633531570.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,(2.042.589.421.298),(670.833.333),(2.043.260.254.631),-2042589421298.0,-670833333.0,-2043260254631.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,1.890.752.259.572,(608.045.498.451),1.282.706.761.121,1890752259572.0,-608045498451.0,1282706761121.0
Chi phí bán hàng và quản lýdoanh nghiệp,Chi phí bán hàng và quản lýdoanh nghiệp,Chi phí bán hàng và quản lýdoanh nghiệp,1.371.206.268.270,(8.273.319.631),1.362.932.948.639,1371206268270.0,-8273319631.0,1362932948639.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,(62.238.153.464),(750.457.836.408),(812.695.989.872),-62238153464.0,-750457836408.0,-812695989872.0
Chi phí khác,Chi phí khác,Chi phí khác,67.280.429.453,11.901.577.418,79.182.006.871,67280429453.0,11901577418.0,79182006871.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,70.482.764.129,74.695.622.840,145.178.386.969,70482764129.0,74695622840.0,145178386969.0
