row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2016 > Giá gốc VND,31/12/2016 > Dự phòng VND,% sở hữu_1,% quyền biểu quyết_1,1/1/2016 > Giá gốc VND,1/1/2016 > Dự phòng VNDĐã điều chỉnh lại,1/1/2016 > Giá trị hợp lý VND,col_12,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Dự phòng VND,numeric__% sở hữu_1,numeric__% quyền biểu quyết_1,numeric__1/1/2016 > Giá gốc VND,numeric__1/1/2016 > Dự phòng VNDĐã điều chỉnh lại,numeric__1/1/2016 > Giá trị hợp lý VND,numeric__col_12
20,20,20,Công ty CP Văn tải và Dịch vụ Petrolimex Hà Tây,Hà Nội,"51,00%","51,00%",11.235.416.616,-,7.017.600.000,"51,00%","51,00%",11.235.416.616,-,3.508.800.000,,,0.51,0.51,11235416616.0,,7017600000.0,0.51,0.51,11235416616.0,,3508800000.0
21,21,21,Công ty CP Tương mại và Vận tải Petrolimex Đà Nẵng,Đà Nẵng,"51,00%","51,00%",9.389.713.748,-,(*),"51,00%","51,00%",9.389.713.748,-,(*),,,0.51,0.51,9389713748.0,,,0.51,0.51,9389713748.0,,
22,22,22,Công ty CP Vận tải và Dịch vụ Petrolimex Thừa Thiên Huế,Huế,"51,00%","51,00%",7.203.019.611,-,(*),"51,00%","51,00%",7.203.019.611,-,(*),,,0.51,0.51,7203019611.0,,,0.51,0.51,7203019611.0,,
23,23,23,Công ty CP Tư vấn Xây dựng Petrolimex,Hà Nội,"51,00%","51,00%",6.841.650.000,-,(*),"51,00%","51,00%",6.841.650.000,-,(*),,,0.51,0.51,6841650000.0,,,0.51,0.51,6841650000.0,,
Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,,,,,,,,,,,,,
24,Các công ty con thuộc Khối xăng đầu trực thuộc > 24,24,Công ty Xăng dầu B12 – Công ty TNHH MTV,Quảng Ninh,"100,00%","100,00%",692.000.000.000,-,(*),"100,00%","100,00%",692.000.000.000,-,(*),,,1.0,1.0,692000000000.0,,,1.0,1.0,692000000000.0,,
25,Các công ty con thuộc Khối xăng đầu trực thuộc > 25,25,Công ty TNHH MTV Xăng dầu KV2,TP. Hồ Chí Minh,"100,00%","100,00%",570.000.000.000,-,(*),"100,00%","100,00%",570.000.000.000,-,(*),,,1.0,1.0,570000000000.0,,,1.0,1.0,570000000000.0,,
26,Các công ty con thuộc Khối xăng đầu trực thuộc > 26,26,Công ty Xăng dầu KV1 – Công ty TNHH MTV,Hà Nội,"100,00%","100,00%",269.000.000.000,-,(*),"100,00%","100,00%",269.000.000.000,-,(*),,,1.0,1.0,269000000000.0,,,1.0,1.0,269000000000.0,,
27,Các công ty con thuộc Khối xăng đầu trực thuộc > 27,27,Công ty Xăng dầu KV5 – Công ty TNHH MTV,Dà Nẵng,"100,00%","100,00%",194.000.000.000,-,(*),"100,00%","100,00%",194.000.000.000,-,(*),,,1.0,1.0,194000000000.0,,,1.0,1.0,194000000000.0,,
28,Các công ty con thuộc Khối xăng đầu trực thuộc > 28,28,Công ty Xăng dầu Tây Nam Bộ,Cần Thơ,"100,00%","100,00%",132.300.000.000,-,(*),"100,00%","100,00%",132.300.000.000,-,(*),,,1.0,1.0,132300000000.0,,,1.0,1.0,132300000000.0,,
