row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND Đã điều chỉnh lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),TÀI SẢN > Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),Tài sản ngắn hạn(100 = 110 + 130 + 140 + 150),100,,20.788.643.235.714,20.471.913.196.825,100.0,,20788643235714.0,20471913196825.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,8.240.035.351.300,7.778.553.550.138,110.0,4.0,8240035351300.0,7778553550138.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,3.018.035.351.300,3.145.452.550.138,111.0,,3018035351300.0,3145452550138.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,5.222.000.000.000,4.633.101.000.000,112.0,,5222000000000.0,4633101000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,4.404.397.767.691,6.546.320.158.724,130.0,,4404397767691.0,6546320158724.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5,4.188.044.198.235,4.921.207.463.616,131.0,5.0,4188044198235.0,4921207463616.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,9.997.119.458,5.235.252.028,132.0,,9997119458.0,5235252028.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,6,206.356.449.998,1.619.877.443.080,136.0,6.0,206356449998.0,1619877443080.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,7,5.806.182.741.469,4.930.744.953.796,140.0,7.0,5806182741469.0,4930744953796.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,5.806.182.741.469,4.999.097.064.563,141.0,,5806182741469.0,4999097064563.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,-,(68.352.110.767),149.0,,,-68352110767.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,2.338.027.375.254,1.216.294.534.167,150.0,,2338027375254.0,1216294534167.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,12(a),85.801.855.908,90.010.604.200,151.0,,85801855908.0,90010604200.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,114.247.556.495,173.752.093.745,152.0,,114247556495.0,173752093745.0
Thuế và các khoản khác phải thu,TÀI SẢN > Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,153,14,2.098.902.252.217,903.840.931.510,153.0,14.0,2098902252217.0,903840931510.0
Nhà nước,Nhà nước,Nhà nước,,,,,,,,
Tài sản ngắn hạn khác,Nhà nước > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,8,39.075.710.634,48.690.904.712,155.0,8.0,39075710634.0,48690904712.0
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Nhà nước > Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),200,,10.120.639.912.591,10.170.870.094.498,200.0,,10120639912591.0,10170870094498.0
Các khoản phải thu dài hạn,Nhà nước > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,-,191.790.000,210.0,,,191790000.0
Phải thu dài hạn khác,Nhà nước > Phải thu dài hạn khác,Phải thu dài hạn khác,216,,-,191.790.000,216.0,,,191790000.0
Tài sản cố định,Nhà nước > Tài sản cố định,Tài sản cố định,220,,380.650.367.677,365.115.469.343,220.0,,380650367677.0,365115469343.0
Tài sản cố định hữu hình,Nhà nước > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,89.378.694.789,49.171.858.261,221.0,9.0,89378694789.0,49171858261.0
Nguyên giá,Nhà nước > Nguyên giá,Nguyên giá,222,,254.362.602.955,195.997.085.457,222.0,,254362602955.0,195997085457.0
Giá trị hao mòn lũy kế,Nhà nước > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(164.983.908.166),(146.825.227.196),223.0,,-164983908166.0,-146825227196.0
Tài sản cố định vô hình,Nhà nước > Tài sản cố định vô hình,Tài sản cố định vô hình,227,10,291.271.672.888,315.943.611.082,227.0,10.0,291271672888.0,315943611082.0
Nguyên giá,Nhà nước > Nguyên giá,Nguyên giá,228,,505.427.350.215,479.355.329.753,228.0,,505427350215.0,479355329753.0
Giá trị hao mòn lũy kế,Nhà nước > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(214.155.677.327),(163.411.718.671),229.0,,-214155677327.0,-163411718671.0
Tài sản dở dang dài hạn,Nhà nước > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,4.733.890.877,7.068.989.968,240.0,,4733890877.0,7068989968.0
Chi phí xây dựng cơ bản dở dang,Nhà nước > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,4.733.890.877,7.068.989.968,242.0,,4733890877.0,7068989968.0
