row_label_raw,row_label_full,col_0,31/12/2016VND,1/1/2016VNDĐã điều chỉnh lại,numeric__31/12/2016VND,numeric__1/1/2016VNDĐã điều chỉnh lại
Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,Các công ty con thuộc Khối xăng dầu trực thuộc,3.482.465.777.711,3.166.453.085.897,3482465777711.0,3166453085897.0
Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,-,1.339.501.930.337,,1339501930337.0
Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,Công ty TNHH MTV Petrolimex Lào,293.788.041.148,193.462.187.356,293788041148.0,193462187356.0
Totsa Total Oil Trading SA,Totsa Total Oil Trading SA,Totsa Total Oil Trading SA,98.294.635.121,59.168.544.479,98294635121.0,59168544479.0
Lao State Fuel Company (LSFC),Lao State Fuel Company (LSFC),Lao State Fuel Company (LSFC),56.966.134.462,64.051.417.683,56966134462.0,64051417683.0
"Bright Victory MK Petro I/E Co., Ltd.","Bright Victory MK Petro I/E Co., Ltd.","Bright Victory MK Petro I/E Co., Ltd.",123.716.412.014,-,123716412014.0,
Công ty Xuất nhập khẩu Sok Kong,Công ty Xuất nhập khẩu Sok Kong,Công ty Xuất nhập khẩu Sok Kong,77.852.705.458,79.485.286.885,77852705458.0,79485286885.0
"Kampuchea Tela Co., Ltd.","Kampuchea Tela Co., Ltd.","Kampuchea Tela Co., Ltd.",-,3.730.454.089,,3730454089.0
Vientiane Petroleum State Enterprise,Vientiane Petroleum State Enterprise,Vientiane Petroleum State Enterprise,54.933.181.455,-,54933181455.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,27.310.866,15.354.556.890,27310866.0,15354556890.0
,,,4.188.044.198.235,4.921.207.463.616,4188044198235.0,4921207463616.0
