row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,40.006.199.322,6.792.271.707,16.938.302.727,132.157.111.701,103.200.000,195.997.085.457,40006199322.0,6792271707.0,16938302727.0,132157111701.0,103200000.0,195997085457.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,63.713.190,27.916.346.251,3.275.733.636,22.052.498.500,-,53.308.291.577,63713190.0,27916346251.0,3275733636.0,22052498500.0,,53308291577.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,6.457.405.921,-,,74.820.000,-,6.532.225.921,6457405921.0,,,74820000.0,,6532225921.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(1.475.000.000),-,-,(1.475.000.000),,,-1475000000.0,,,-1475000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,46.527.318.433,34.708.617.958,18.739.036.363,154.284.430.201,103.200.000,254.362.602.955,46527318433.0,34708617958.0,18739036363.0,154284430201.0,103200000.0,254362602955.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.849.757.447,4.698.320.995,12.716.117.835,102.457.830.919,103.200.000,146.825.227.196,26849757447.0,4698320995.0,12716117835.0,102457830919.0,103200000.0,146825227196.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.386.600.111,4.202.180.385,1.140.129.874,12.904.770.600,-,19.633.680.970,1386600111.0,4202180385.0,1140129874.0,12904770600.0,,19633680970.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.475.000.000),-,-,(1.475.000.000),,,-1475000000.0,,,-1475000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.236.357.558,8.900.501.380,12.381.247.709,115.362.601.519,103.200.000,164.983.908.166,28236357558.0,8900501380.0,12381247709.0,115362601519.0,103200000.0,164983908166.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.156.441.875,2.093.950.712,4.222.184.892,29.699.280.782,-,49.171.858.261,13156441875.0,2093950712.0,4222184892.0,29699280782.0,,49171858261.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.290.960.875,25.808.116.578,6.357.788.654,38.921.828.682,-,89.378.694.789,18290960875.0,25808116578.0,6357788654.0,38921828682.0,,89378694789.0
