row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sảnkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sảnkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,238.796.794,42.966.964,29.279.099,3.308.219,6.689.440,108.060,321.148.576,238796794.0,42966964.0,29279099.0,3308219.0,6689440.0,108060.0,321148576.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.543.225,709.290,8.595.421,-,-,-,17.847.936,8543225.0,709290.0,8595421.0,,,,17847936.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(8.221.986),(3.303.545),(541.236),(289.855),-,-,(12.356.622),-8221986.0,-3303545.0,-541236.0,-289855.0,,,-12356622.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,239.118.033,40.372.709,37.333.284,3.018.364,6.689.440,108.060,326.639.890,239118033.0,40372709.0,37333284.0,3018364.0,6689440.0,108060.0,326639890.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(44.452.220),(19.087.039),(17.099.428),(2.055.628),(4.770.974),(22.513),(87.487.802),-44452220.0,-19087039.0,-17099428.0,-2055628.0,-4770974.0,-22513.0,-87487802.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(7.979.960),(4.403.167),(3.349.903),(425.948),(959.232),(18.012),(17.136.222),-7979960.0,-4403167.0,-3349903.0,-425948.0,-959232.0,-18012.0,-17136222.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,2.565.703,3.125.690,259.683,289.855,-,-,6.240.931,2565703.0,3125690.0,259683.0,289855.0,,,6240931.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(49.866.477),(20.364.516),(20.189.648),(2.191.721),(5.730.206),(40.525),(98.383.093),-49866477.0,-20364516.0,-20189648.0,-2191721.0,-5730206.0,-40525.0,-98383093.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,194.344.574,23.879.925,12.179.671,1.252.591,1.918.466,85.547,233.660.774,194344574.0,23879925.0,12179671.0,1252591.0,1918466.0,85547.0,233660774.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,189.251.556,20.008.193,17.143.636,826.643,959.234,67.535,228.256.797,189251556.0,20008193.0,17143636.0,826643.0,959234.0,67535.0,228256797.0
Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,Giá trị còn lại > Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,189.251.556,20.008.193,17.143.636,-,959.234,-,227.362.619,189251556.0,20008193.0,17143636.0,,959234.0,,227362619.0
Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,Giá trị còn lại > Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,Trong đó:Theếp chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhấu hao hết,-,659.806,491.832,375.586,-,-,1.527.224,,659806.0,491832.0,375586.0,,,1527224.0
