row_label_raw,row_label_full,"Tên ngân hàng > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, Chi nhánh Sở giao dịch Đồng Nai > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam, Chi nhánh Gia Lai",Số cuối năm > Ngàn VND > 299.706.458 > 600.569.350,Nguyên tệ > Ngàn VND > 299.706.457 > 474.725.354,Nguyên tệ > USD > - > 5.522.001,Thời hạn thanh toán và ngày đáo hạn > Từ năm 2017 đến 30 tháng 8 năm 2020 > Từ năm 2017 đến ngày 20 tháng 10 năm 2020,"Lãi suất (%/năm) > 10 – 11 > 5,05 – 10,5","Tài sân thế chấp > Thế chấp thứ cấp toàn bộ cổ phiếu thuộc sở hữu của Công ty tại Công ty Cổ phần Xây dựng và Phát triển nhà Hoàng Anh (""HAN"") > Công trình khu liên hợp học viện bóng đá HAGL của Thể thao HAGL; công trình đại học Y Dược HAGL của Bệnh viện HAGL; tài sân gắn liền với đất hình thành trong tương lai (vườn cao su 1.194,74 ha và các lợi ích hợp pháp khác từ vườn cây trên tại xã Po Tó, Gia Lai) của CSTN ; số dư tiền gửi ngân hàng 14.703.000 ngân VND tại BIDV (TM số 5)",numeric__Số cuối năm > Ngàn VND > 299.706.458 > 600.569.350,numeric__Nguyên tệ > Ngàn VND > 299.706.457 > 474.725.354,numeric__Nguyên tệ > USD > - > 5.522.001,numeric__Thời hạn thanh toán và ngày đáo hạn > Từ năm 2017 đến 30 tháng 8 năm 2020 > Từ năm 2017 đến ngày 20 tháng 10 năm 2020,"numeric__Lãi suất (%/năm) > 10 – 11 > 5,05 – 10,5","numeric__Tài sân thế chấp > Thế chấp thứ cấp toàn bộ cổ phiếu thuộc sở hữu của Công ty tại Công ty Cổ phần Xây dựng và Phát triển nhà Hoàng Anh (""HAN"") > Công trình khu liên hợp học viện bóng đá HAGL của Thể thao HAGL; công trình đại học Y Dược HAGL của Bệnh viện HAGL; tài sân gắn liền với đất hình thành trong tương lai (vườn cao su 1.194,74 ha và các lợi ích hợp pháp khác từ vườn cây trên tại xã Po Tó, Gia Lai) của CSTN ; số dư tiền gửi ngân hàng 14.703.000 ngân VND tại BIDV (TM số 5)"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,900.275.808,,,,,,900275808.0,,,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,25.000.000875.275.808,,,,,,2.500000087527581e+16,,,,,
