row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,52.350.201,15.171.973,67.522.174,52350201.0,15171973.0,67522174.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(6.386.244),(6.386.244),,-6386244.0,-6386244.0
Khấu hao trong kỳ,Giá trị hao mòn lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,(739.395),(1.866.086),(2.605.481),-739395.0,-1866086.0,-2605481.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(739.395),(8.252.330),(8.991.725),-739395.0,-8252330.0,-8991725.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,52.350.201,8.785.729,61.135.930,52350201.0,8785729.0,61135930.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,51.610.806,6.919.643,58.530.449,51610806.0,6919643.0,58530449.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Thế chấp/cầm cố để đảm bảo các khoản vay của công ty con,Trong đó: > Thế chấp/cầm cố để đảm bảo các khoản vay của công ty con,Thế chấp/cầm cố để đảm bảo các khoản vay của công ty con,51.610.806,-,51.610.806,51610806.0,,51610806.0
