row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngân VNDSố đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngân VNDSố đầu năm
Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),,,,
Công ty Cổ phần Bò sữa Tây Nguyên,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Nhận ứng trước dịch vụ xây dựng,306.020.992,308.227.665,,,306020992.0,308227665.0
Công ty Cổ phần Bò sữa Tây Nguyên,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Nhận ứng trước tiền mua hàng hóa,-,42.057.022,,,,42057022.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Nhận ứng trước tiền mua hàng hóa,122.231.030,144.818.384,,,122231030.0,144818384.0
Công ty TNHH Hoàng Anh Oyadav,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Nhận ứng trước tiền mua hàng hóa,140.157.988,140.157.988,,,140157988.0,140157988.0
Công ty TNHH Hoàng Anh Rattanakiri,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Nhận ứng trước tiền mua hàng hóa,98.159.761,98.159.761,,,98159761.0,98159761.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Nhận ứng trước tiền mua hàng hóa,51.419.034,81.461.947,,,51419034.0,81461947.0
Công ty TNHH Hoàng Anh An Đông Meas,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Nhận ứng trước tiền mua hàng hóa,109.223.907,160.974.005,,,109223907.0,160974005.0
Công ty TNHH MTV Hoàng Anh Lumphat,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty con,Nhận ứng trước tiền mua hàng hóa,31.430.152,35.619.991,,,31430152.0,35619991.0
Công ty TNHH Mía đường Hoàng Anh Attapeu,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty TNHH Mía đường Hoàng Anh Attapeu,Công ty con,Nhận ứng trước tiền mua hàng hóa,-,15.289.560,,,,15289560.0
Công ty TNHH Điện Hoàng Anh Attapeu,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Điện Hoàng Anh Attapeu,Công ty TNHH Điện Hoàng Anh Attapeu,Công ty con,Nhận ứng trước dịch vụ xây dựng,-,35.952.110,,,,35952110.0
Công ty Cổ phần Cao su Trung Nguyên,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Nhận ứng trước tiền mua hàng hóa,57.253.289,-,,,57253289.0,
Công ty Cổ phần Cao su Trung Nguyên,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Nhận ứng trước dịch vụ xây dựng,30.800.000,-,,,30800000.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Nhận ứng trước tiền mua hàng hóa,108.864,1.026.391,,,108864.0,1026391.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Nhận ứng trước tiền mua hàng hóa,-,2.647.413,,,,2647413.0
Công ty Cổ phần Chăn nuôi Gia Lai,Người mua trả tiền trước ngắn hạn (TM số 16) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Nhận ứng trước dịch vụ xây dựng,193.716.544,251.804.508,,,193716544.0,251804508.0
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (TM số 16) > TỔNG CỘNG,TỔNG CỘNG,,,1.140.521.561,1.318.196.745,,,1140521561.0,1318196745.0
