row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán ACB (""ACBS"") > BIDV và Công ty TNHH Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"") > Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"") > Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vương (""VPBS"") > Công ty Cổ phần Chứng khoán IB (""IBSC"") > Công ty Cổ phần Chứng khoán FPT (""FPTS"") và Ngân hàng TMCP Việt Nam Thịnh Vương (""VPB"")",Ngày phát hành > Ngày 25 tháng 4 năm 2012 > Ngày 30 tháng 12 năm 2016 > Từ ngày 9 tháng 7 năm 2013 đến 17 tháng 8 năm 2015 > Ngày 29 tháng 12 năm 2016 > Ngày 1 tháng 4 năm 2014 > Ngày 28 tháng 11 năm 2014 > Ngày 29 tháng 12 năm 2016 > Ngày 27 tháng 8 năm 2015,Số cuối năm > Giá trị > 820.108.381 > 240.000.000 > 6.546.000.000 > - > 930.000.000 > 1.000.000.000 > 183.000.000 > 600.000.000,Số cuối năm > Ngày đến hạn > Từ ngày 27 tháng 4 năm 2017 đến ngày 18 tháng 6 năm 2023 > Từ ngày 30 tháng 6 năm 2018 đến ngày 30 tháng 12 năm 2020 > Ngày 30 tháng 12 năm 2026 > Ngày 31 tháng 12 năm 2023 > Ngày 28 tháng 12 năm 2021 > Ngày 29 tháng 12 năm 2020 > Từ ngày 27 tháng 12 năm 2021,Ngàn VND Số đầu năm Giá trị > 1.760.450.342 > - > 5.950.000.000 > - > 650.000.000 > 1.000.000.000 > - > 600.000.000,numeric__Ngày phát hành > Ngày 25 tháng 4 năm 2012 > Ngày 30 tháng 12 năm 2016 > Từ ngày 9 tháng 7 năm 2013 đến 17 tháng 8 năm 2015 > Ngày 29 tháng 12 năm 2016 > Ngày 1 tháng 4 năm 2014 > Ngày 28 tháng 11 năm 2014 > Ngày 29 tháng 12 năm 2016 > Ngày 27 tháng 8 năm 2015,numeric__Số cuối năm > Giá trị > 820.108.381 > 240.000.000 > 6.546.000.000 > - > 930.000.000 > 1.000.000.000 > 183.000.000 > 600.000.000,numeric__Số cuối năm > Ngày đến hạn > Từ ngày 27 tháng 4 năm 2017 đến ngày 18 tháng 6 năm 2023 > Từ ngày 30 tháng 6 năm 2018 đến ngày 30 tháng 12 năm 2020 > Ngày 30 tháng 12 năm 2026 > Ngày 31 tháng 12 năm 2023 > Ngày 28 tháng 12 năm 2021 > Ngày 29 tháng 12 năm 2020 > Từ ngày 27 tháng 12 năm 2021,numeric__Ngàn VND Số đầu năm Giá trị > 1.760.450.342 > - > 5.950.000.000 > - > 650.000.000 > 1.000.000.000 > - > 600.000.000
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(104.789.745),,(91.595.674),,-104789745.0,,-91595674.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,10.214.318.636,,9.868.854.668,,10214318636.0,,9868854668.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,,9.696.118.988,,8.494.994.375,,9696118988.0,,8494994375.0
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,518.199.648,,1.373.860.293,,518199648.0,,1373860293.0
