row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),Tỷ lệ sở hữu (%),Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),,,,,,,
Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành,,,,,,,
"Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Trồng cây công nghiệp và nông nghiệp, chăn nuôi bò","70,45",5.224.484.938,-,"79,52",5.443.421.358,-,,70.45,5224484938.0,,79.52,5443421358.0,
"Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")","Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")","Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")",Bất động sản,"68,90",3.253.537.647,-,"85,75",3.253.537.647,-,,68.9,3253537647.0,,85.75,3253537647.0,
"Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")","Đầu tư vào công ty con:Các Tổng Công ty con quản lý ngành > Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")","Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")",Năng lượng,"99,40",2.532.179.575,-,"95,58",2.532.179.575,-,,99.4,2532179575.0,,95.58,2532179575.0,
"Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ","Các công ty xây dựng, kinh doanh và dịch vụ",,,,,,,
"Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")","Các công ty xây dựng, kinh doanh và dịch vụ > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")","Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")",Bệnh viện,"99,00",99.000.000,-,"99,00",99.000.000,-,,99.0,99000000.0,,99.0,99000000.0,
"Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai (""Thẻ thao HAGL"")","Các công ty xây dựng, kinh doanh và dịch vụ > Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai (""Thẻ thao HAGL"")","Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai (""Thẻ thao HAGL"")",Câu lạc bộ Bóng đá,"51,00",59.000.000,(59.000.000),"51,00",59.000.000,-,,51.0,59000000.0,-59000000.0,51.0,59000000.0,
Công ty TNHH V&H Corporation (Lào),"Các công ty xây dựng, kinh doanh và dịch vụ > Công ty TNHH V&H Corporation (Lào)",Công ty TNHH V&H Corporation (Lào),Trồng cây cao su,"80,00",26.930.800,(26.930.800),"80,00",26.930.800,-,,80.0,26930800.0,-26930800.0,80.0,26930800.0,
"Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai (""Cầu đường HAGL"")","Các công ty xây dựng, kinh doanh và dịch vụ > Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai (""Cầu đường HAGL"")","Công ty Cổ phần Xây dựng Cầu đường Hoàng Anh Gia Lai (""Cầu đường HAGL"")",Xây dựng,-,-,-,"55,12",4.680.000,-,,,,,55.12,4680000.0,
