row_label_raw,row_label_full,TỔNG CỘNG (*),TỔNG CỘNG (*)_1,TỔNG CỘNG (*)_2,10.765.093.392,7.186.402.423,numeric__TỔNG CỘNG (*)_1,numeric__TỔNG CỘNG (*)_2,numeric__10.765.093.392,numeric__7.186.402.423
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Công ty Cổ phần Đầu tưBất động sản An Phú,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Đầu tưBất động sản An Phú,Công ty Cổ phần Đầu tưBất động sản An Phú,Công ty liên quan,Lãi cho vay,844.300.839,551.031.737,,,844300839.0,551031737.0
Công ty Cổ phần Cao suHoàng Anh - Quang Minh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Cao suHoàng Anh - Quang Minh,Công ty Cổ phần Cao suHoàng Anh - Quang Minh,Công ty con,Lãi cho vayChi hộ,273.952.1705.003.691,98.081.9984.947.702,,,2739521705003691.0,980819984947702.0
Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Phải thu ngắn hạn khác (TM số 8) > Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty con,Chi trả hộLãi cho vay,123.426.56243.737.257,119.689.030-,,,1.2342656243737256e+16,
Công ty Cổ phần Thế thaoHoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Thế thaoHoàng Anh Gia Lai,Công ty Cổ phần Thế thaoHoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,47.146.8873.266.859,19.726.8272.393.037,,,471468873266859.0,197268272393037.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Lãi cho vay,21.273.973,6.718.213,,,21273973.0,6718213.0
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,Lãi cho vay,3.894.640,14.548.178,,,3894640.0,14548178.0
Công ty Cổ phần Mía đườngHoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Mía đườngHoàng Anh Gia Lai,Công ty Cổ phần Mía đườngHoàng Anh Gia Lai,Công ty con,Lãi cho vayChi trả hộ,-,118.351.0401.658.574,,,,1183510401658574.0
Công ty Cổ phần Xây dựng vàPhát triển Nhà Hoàng Anh,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Xây dựng vàPhát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng vàPhát triển Nhà Hoàng Anh,Công ty con,Lãi cho vayChi trả hộ,-,5.677.778459.949,,,,5677778459949.0
Công ty Cổ phần Hoàng AnhMê Kông,Phải thu ngắn hạn khác (TM số 8) > Công ty Cổ phần Hoàng AnhMê Kông,Công ty Cổ phần Hoàng AnhMê Kông,Công ty liên quan,Chi trả hộ,-,12.624.059,,,,12624059.0
