row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả tiền mượn không lãi từ các công ty khác,Phải trả tiền mượn không lãi từ các công ty khác,Phải trả tiền mượn không lãi từ các công ty khác,853.583.376,202.899.740,853583376.0,202899740.0
Phải trả về thu hộ,Phải trả về thu hộ,Phải trả về thu hộ,191.688.447,72.786.442,191688447.0,72786442.0
Phải trả hộ tiền thuê đất của công ty con,Phải trả hộ tiền thuê đất của công ty con,Phải trả hộ tiền thuê đất của công ty con,82.428.607,-,82428607.0,
Phải trả lãi vay,Phải trả lãi vay,Phải trả lãi vay,1.698.599,635.570,1698599.0,635570.0
Phải trả cổ tức,Phải trả cổ tức,Phải trả cổ tức,366.416,101.579,366416.0,101579.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",1.118.234,3.669.402,1118234.0,3669402.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.130.883.679,280.092.733,1130883679.0,280092733.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 28),Trong đó: > Phải trả các bên liên quan (TM số 28),Phải trả các bên liên quan (TM số 28),951.927.828,195.906.802,951927828.0,195906802.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,178.955.851,84.185.931,178955851.0,84185931.0
