row_label_raw,row_label_full,Giá trị các căn hộ sẵn sàng để bán,Số cuối năm > 46.792.708,Ngàn VND Số đầu năm > 107.646.457,numeric__Số cuối năm > 46.792.708,numeric__Ngàn VND Số đầu năm > 107.646.457
"Chi phí sẵn xuất, kinh doanh dở dang","Chi phí sẵn xuất, kinh doanh dở dang","Chi phí sẵn xuất, kinh doanh dở dang",30.246.278,34.079.331,30246278.0,34079331.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hợp đồng xây dựng,Trong đó: > Hợp đồng xây dựng,Hợp đồng xây dựng,24.227.754,10.529.097,24227754.0,10529097.0
Hoạt động sân xuất,Trong đó: > Hoạt động sân xuất,Hoạt động sân xuất,5.978.274,23.345.211,5978274.0,23345211.0
Cung cấp dịch vụ,Trong đó: > Cung cấp dịch vụ,Cung cấp dịch vụ,40.250,205.023,40250.0,205023.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,21.103.672,52.386.134,21103672.0,52386134.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,2.482.884,7.771.786,2482884.0,7771786.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,402.773,276.675,402773.0,276675.0
Vật liệu xây dựng,Trong đó: > Vật liệu xây dựng,Vật liệu xây dựng,-,3.885.058,,3885058.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",151.218,59.377,151218.0,59377.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,101.179.533,206.104.818,101179533.0,206104818.0
