row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Ngàn VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hạnngân hàng,Vay ngắn hạn > Vay ngắn hạnngân hàng,Vay ngắn hạnngân hàng,1.052.926.625,1.180.104.723,(2.233.031.348),-,1052926625.0,1180104723.0,-2233031348.0,
Trái phiếu chuyển đổi(TM số 20.2),Vay ngắn hạn > Trái phiếu chuyển đổi(TM số 20.2),Trái phiếu chuyển đổi(TM số 20.2),1.100.000.000,-,-,1.100.000.000,1100000000.0,,,1100000000.0
Vay dài hạn ngânhàng đến hạn trả(TM số 20.1),Vay ngắn hạn > Vay dài hạn ngânhàng đến hạn trả(TM số 20.1),Vay dài hạn ngânhàng đến hạn trả(TM số 20.1),32.343.750,25.000.000,(32.343.750),25.000.000,32343750.0,25000000.0,-32343750.0,25000000.0
Trái phiếu hoán đổi(TM số 20.4),Vay ngắn hạn > Trái phiếu hoán đổi(TM số 20.4),Trái phiếu hoán đổi(TM số 20.4),1.130.000.000,-,-,1.130.000.000,1130000000.0,,,1130000000.0
Trái phiếu thườngtrong nước đến hạntrả (TM số 20.3),Vay ngắn hạn > Trái phiếu thườngtrong nước đến hạntrả (TM số 20.3),Trái phiếu thườngtrong nước đến hạntrả (TM số 20.3),1.373.860.293,-,(855.660.645),518.199.648,1373860293.0,,-855660645.0,518199648.0
,,,4.689.130.668,1.205.104.723,(3.121.035.743),2.773.199.648,4689130668.0,1205104723.0,-3121035743.0,2773199648.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay dài hạnngân hàng(TM số 20.1),Vay dài hạn > Vay dài hạnngân hàng(TM số 20.1),Vay dài hạnngân hàng(TM số 20.1),-,900.275.808,(25.000.000),875.275.808,,900275808.0,-25000000.0,875275808.0
Trái phiếu thườngtrong nước(TM số 20.3),Vay dài hạn > Trái phiếu thườngtrong nước(TM số 20.3),Trái phiếu thườngtrong nước(TM số 20.3),8.494.994.375,3.009.996.055,(1.808.871.442),9.696.118.988,8494994375.0,3009996055.0,-1808871442.0,9696118988.0
,,,8.494.994.375,3.910.271.863,(1.833.871.442),10.571.394.796,8494994375.0,3910271863.0,-1833871442.0,10571394796.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,13.184.125.043,5.115.376.586,(4.954.907.185),13.344.594.444,13184125043.0,5115376586.0,-4954907185.0,13344594444.0
