row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,%/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__%/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,"4,2% - 11,5%",5.209.360.533,1.030.376.353,,,5209360533.0,1030376353.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,8%,1.321.977.971,-,,0.08,1321977971.0,
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,"9,75% - 12,5%",892.234.500,872.438.488,,,892234500.0,872438488.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,"10% - 10,77%",673.076.978,600.000.000,,,673076978.0,600000000.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,6% - 11%,656.198.957,1.383.700.000,,,656198957.0,1383700000.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,"10,5% - 12%",397.409.844,40.000.000,,,397409844.0,40000000.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,"9,75% - 12,93%",350.000.000,-,,,350000000.0,
Ông Đoàn Nguyên Đức,Phải thu về cho vay dài hạn (TM số 7) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,12%,300.000.000,697.320.000,,0.12,300000000.0,697320000.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,"10,5%",227.599.349,205.817.797,,0.105,227599349.0,205817797.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,"6% – 10,5%",265.198.198,84.414.912,,,265198198.0,84414912.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,12%,141.231.794,116.568.196,,0.12,141231794.0,116568196.0
Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty con,-,53.092.286,49.672.286,,,53092286.0,49672286.0
Công ty Cổ phần An Đông Mia,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,10%,34.007.539,295.000.000,,0.1,34007539.0,295000000.0
Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,Công ty con,-,24.207.836,24.682.417,,,24207836.0,24682417.0
Công ty Cổ phần Xây dựng Huynh Đệ,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,"13,21% - 15,73%",14.651.980,14.651.980,,,14651980.0,14651980.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,12%,-,641.100.000,,0.12,,641100000.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,12%,-,809.401.438,,0.12,,809401438.0
Công ty TNHH An Tiến,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,6 - 13%,93.000.000,-,,,93000000.0,
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,13%,61.628.333,-,,0.13,61628333.0,
