row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Giao dịch,Số cuối năm,Ngân VND Số đầu năm,numeric__Môi quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),,,,
Công ty Cổ phầnXây dựng và Phát triểnNhà Hoàng Anh,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phầnXây dựng và Phát triểnNhà Hoàng Anh,Công ty Cổ phầnXây dựng và Phát triểnNhà Hoàng Anh,Công ty con,Chi trả hộ,11.786.059,11.786.059,,,11786059.0,11786059.0
Công ty TNHH MTVKinh doanh Xuất Nhậpkhẩu Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH MTVKinh doanh Xuất Nhậpkhẩu Hoàng Anh Gia Lai,Công ty TNHH MTVKinh doanh Xuất Nhậpkhẩu Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,122.224.022,-,,,122224022.0,
Công ty Cổ phần Cao suTrung Nguyên,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Cao suTrung Nguyên,Công ty Cổ phần Cao suTrung Nguyên,Công ty con,Vay mượn tạm,256.502.907,123.120.360,,,256502907.0,123120360.0
Công ty Cổ phầnNông nghiệp Quốc tếHoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phầnNông nghiệp Quốc tếHoàng Anh Gia Lai,Công ty Cổ phầnNông nghiệp Quốc tếHoàng Anh Gia Lai,Công ty con,Chi trả hộ,2.065.085,2.065.085,,,2065085.0,2065085.0
Công ty Cổ phần Thẻ thaoHoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thẻ thaoHoàng Anh Gia Lai,Công ty Cổ phần Thẻ thaoHoàng Anh Gia Lai,Công ty con,Chi trả hộ,13.396.900,13.320.600,,,13396900.0,13320600.0
Công ty TNHH Hoàng AnhGia Lai Vientiane,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Hoàng AnhGia Lai Vientiane,Công ty TNHH Hoàng AnhGia Lai Vientiane,Công ty con,Chi trả hộ,22.769.750,22.769.750,,,22769750.0,22769750.0
Công ty Cổ phần Thủydiện Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thủydiện Hoàng Anh Gia Lai,Công ty Cổ phần Thủydiện Hoàng Anh Gia Lai,Công ty con,Chi trả hộVay mượn tạm,126.169.3746.051.722,-6.051.722,,,1261693746051722.0,-6051722.0
Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty TNHH Phát triểnNông nghiệp Hoàng AnhAttapeu,Công ty con,Chi trả hộ,3.808.366,3.808.366,,,3808366.0,3808366.0
Công ty TNHH Điện HoàngAnh Attapeu,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Điện HoàngAnh Attapeu,Công ty TNHH Điện HoàngAnh Attapeu,Công ty con,Chi trả hộ,3.137.302,3.183.439,,,3137302.0,3183439.0
Công ty TNHH Khoáng sảnHoàng Anh GL – Kon Tum,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Khoáng sảnHoàng Anh GL – Kon Tum,Công ty TNHH Khoáng sảnHoàng Anh GL – Kon Tum,Công ty con,Chi trả hộ,2.402.766,2.402.766,,,2402766.0,2402766.0
Công ty Cổ phần HoàngAnh Đắk Lắk,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần HoàngAnh Đắk Lắk,Công ty Cổ phần HoàngAnh Đắk Lắk,Công ty con,Chi trả hộ,1.825.937,1.825.937,,,1825937.0,1825937.0
Công ty TNHH MTV Khoángsản Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH MTV Khoángsản Hoàng Anh Gia Lai,Công ty TNHH MTV Khoángsản Hoàng Anh Gia Lai,Công ty con,Vay mượn tạmChi trả hộ,366.158.462489.770,-489.770,,,366158462489770.0,-489770.0
Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Công ty Cổ phần Bệnhviện Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,1.393.535,1.011.164,,,1393535.0,1011164.0
