row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,564.854.296,2.466.948.513,564854296.0,2466948513.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán sản phẩm, hàng hóa","Trong đó: > Doanh thu bán sản phẩm, hàng hóa","Doanh thu bán sản phẩm, hàng hóa",268.526.346,1.050.521.057,268526346.0,1050521057.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,130.449.414,1.032.528.973,130449414.0,1032528973.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,67.727.562,125.923.241,67727562.0,125923241.0
Doanh thu bán bắt động sản đầu tư,Trong đó: > Doanh thu bán bắt động sản đầu tư,Doanh thu bán bắt động sản đầu tư,64.477.600,214.941.818,64477600.0,214941818.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,33.673.374,43.033.424,33673374.0,43033424.0
Các khoản giảm trừ,Trong đó: > Các khoản giảm trừ,Các khoản giảm trừ,-,(35.528),,-35528.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,-,(35.528),,-35528.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,564.854.296,2.466.912.985,564854296.0,2466912985.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán sản phẩm, hàng hóa","Trong đó: > Doanh thu bán sản phẩm, hàng hóa","Doanh thu bán sản phẩm, hàng hóa",268.526.346,1.050.485.529,268526346.0,1050485529.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,130.449.414,1.032.528.973,130449414.0,1032528973.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,67.727.562,125.923.241,67727562.0,125923241.0
Doanh thu bán bắt động sản đầu tư,Trong đó: > Doanh thu bán bắt động sản đầu tư,Doanh thu bán bắt động sản đầu tư,64.477.600,214.941.818,64477600.0,214941818.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,33.673.374,43.033.424,33673374.0,43033424.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,321.805.094,1.839.891.901,321805094.0,1839891901.0
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,243.049.202,627.021.084,243049202.0,627021084.0
