row_label_raw,row_label_full,Ngắn hạnCho vay ngắn hạn các bên liên quan(Thuyết minh số 28),(i),Số cuối năm > 2.466.950.084,Ngàn VND Số đầu năm > 4.652.017.152,numeric__(i),numeric__Số cuối năm > 2.466.950.084,numeric__Ngàn VND Số đầu năm > 4.652.017.152
Cho vay ngắn hạn các công ty,Cho vay ngắn hạn các công ty,Cho vay ngắn hạn các công ty,,4.387.325,-,,4387325.0,
,,,,2.471.337.409,4.652.017.152,,2471337409.0,4652017152.0
Dài hạnCho vay dài hạn các bên liên quan(Thuyết minh số 28),Dài hạnCho vay dài hạn các bên liên quan(Thuyết minh số 28),Dài hạnCho vay dài hạn các bên liên quan(Thuyết minh số 28),(i),10.765.093.392,7.186.402.423,,10765093392.0,7186402423.0
Cho vay dài hạn hạn các công ty,Cho vay dài hạn hạn các công ty,Cho vay dài hạn hạn các công ty,(ii),314.394.068,710.330.064,,314394068.0,710330064.0
Cho vay dài hạn Chính phủ Lào – Dự ánsân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào – Dự ánsân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào – Dự ánsân bay quốc tế Attapeu,(iii),170.000.598,167.980.345,,170000598.0,167980345.0
Cho vay dài hạn nhân viên,Cho vay dài hạn nhân viên,Cho vay dài hạn nhân viên,,-,1.328.500,,,1328500.0
,,,,11.249.488.058,8.066.041.332,,11249488058.0,8066041332.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,13.720.825.467,12.718.058.484,,13720825467.0,12718058484.0
