row_label_raw,row_label_full,Mã số,KHOẢN MỤC,Thuyết minh,Năm nay,Năm trước,numeric__KHOẢN MỤC,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,"Lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định (""TSCĐ"") và bất động sản đầu tư","10,11, 12",5.219.511,731.584.066,,,5219511.0,731584066.0
02,02,02,"Lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định (""TSCĐ"") và bất động sản đầu tư","10,11, 12",20.241.743,20.078.311,,,20241743.0,20078311.0
03,03,03,Các khoản dự phòng,,92.650.440,443.312,,,92650440.0,443312.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(1.503.458),(24.459.937),,,-1503458.0,-24459937.0
05,05,05,Lãi từ hoạt động đầu tư,,(1.407.180.400),(1.356.593.413),,,-1407180400.0,-1356593413.0
06,06,06,Chi phí lãi vay,24,1.299.333.937,1.210.767.623,,24.0,1299333937.0,1210767623.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,8.761.773,581.819.962,,,8761773.0,581819962.0
09,09,09,(Tăng) giảm các khoản phải thu,,(1.095.020.341),4.870.804,,,-1095020341.0,4870804.0
10,10,10,Giảm hàng tồn kho,,104.925.285,102.961.023,,,104925285.0,102961023.0
11,11,11,Tăng các khoản phải trả,,681.819.346,319.356.299,,,681819346.0,319356299.0
12,12,12,Giảm chi phí trả trước,,365.069,8.164.245,,,365069.0,8164245.0
14,14,14,Tiền lãi vay đã trả,,(1.145.154.638),(1.245.427.009),,,-1145154638.0,-1245427009.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,17,(25.346.309),(95.621.975),,17.0,-25346309.0,-95621975.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(56.558),(10.312.710),,,-56558.0,-10312710.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(1.469.706.373),(334.189.361),,,-1469706373.0,-334189361.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi đề mua sắm, xây dựng TSCĐ",,(105.224.515),(121.865.610),,,-105224515.0,-121865610.0
22,22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",,215.611.550,754.990.954,,,215611550.0,754990954.0
23,23,23,Tiền chi cho vay,,(2.522.894.543),(10.378.292.741),,,-2522894543.0,-10378292741.0
24,24,24,Tiền thu hồi cho vay,,3.017.330.428,7.137.566.735,,,3017330428.0,7137566735.0
25,25,25,Tiền chi đầu tư góp vốn vào các đơn vị khác,,(10.072.542),(2.571.757.059),,,-10072542.0,-2571757059.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,238.606.773,863.104.766,,,238606773.0,863104766.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,512.986.181,469.795.590,,,512986181.0,469795590.0
30,30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,1.346.343.332,(3.846.457.365),,,1346343332.0,-3846457365.0
,,,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
33,33,33,Tiền thu từ đi vay,,1.672.252.475,8.236.772.032,,,1672252475.0,8236772032.0
34,34,34,Tiền trả nợ gốc vay,,(1.495.225.910),(4.419.329.550),,,-1495225910.0,-4419329550.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,177.026.565,3.817.442.482,,,177026565.0,3817442482.0
