row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,Mua sắm tài sản cố định,,(671.273),(890.087),,,-671273.0,-890087.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,72.195,147.843,,,72195.0,147843.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(4.500.000),(3.000.000),,,-4500000.0,-3000000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,678,-,,,678.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,60.585,12.387,,,60585.0,12387.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(5.037.815),(3.729.857),,,-5037815.0,-3729857.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(4.466.658),(3.884.051),,,-4466658.0,-3884051.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(4.466.658),(3.884.051),,,-4466658.0,-3884051.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,23.318.654,2.980.813,,,23318654.0,2980813.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,138.752.361,135.771.548,,,138752361.0,135771548.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,33,162.071.015,138.752.361,,33.0,162071015.0,138752361.0
