row_label_raw,row_label_full,col_0,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu nhập từ hoạt động khác > Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,1.080.149,732.524,1080149.0,732524.0
Thu từ hoạt động kinh doanh khác,Thu nhập từ hoạt động khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,287.290,126.222,287290.0,126222.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,364.697,306.515,364697.0,306515.0
,,,1.732.136,1.165.261,1732136.0,1165261.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi về hoạt động kinh doanh khác,Chi phí hoạt động khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(451.587),(336.654),-451587.0,-336654.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(106.270),(123.333),-106270.0,-123333.0
,,,(557.857),(459.987),-557857.0,-459987.0
,,,1.174.279,705.274,1174279.0,705274.0
