row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Dưới 1 tháng,Từ 1 tháng đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,numeric__Dưới 1 tháng,numeric__Từ 1 tháng đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm
▪ VND,▪ VND,▪ VND,"0,50% - 4,50%","4,00% - 4,28%","4,00% - 4,50%",(*),(*),(*),,,,,,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 9,50%","4,50% - 8,30%","4,30% - 4,50%",(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 3,90%","3,80% - 4,62%","1,42% - 4,99%","4,41% - 4,56%",(*),(*),,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 0,50%","0,00% - 4,75%","0,00% - 7,60%","0,00% - 7,80%","0,00% - 9,50%",(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,80%","0,00%","0,00%","0,00%","0,00%",(*),,0.0,0.0,0.0,0.0,
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,
▪ VND,▪ VND,▪ VND,(*),"3,61% - 3,76%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,(*),"5,00%","5,50% - 6,50%","4,80% - 7,50%","4,95% - 7,00%","7,35% - 8,50%",,0.05,,,,
