row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2025 Triệu VND,Tại ngày > 31.12.2024 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025 Triệu VND,numeric__Tại ngày > 31.12.2024 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,14,32.976.139,7.954.853,,14.0,32976139.0,7954853.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước",,31.170.978,7.954.853,,,31170978.0,7954853.0
2,B > 2,2,Giao dịch bán và mua lại trái phiếu Chính phủ với Kho bạc Nhà nước,,1.805.161,-,,,1805161.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,131.528.577,94.993.212,,15.0,131528577.0,94993212.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,121.339.559,91.621.806,,,121339559.0,91621806.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,10.189.018,3.371.406,,,10189018.0,3371406.0
III,B > III,III,Tiền gửi của khách hàng,16,587.874.763,539.139.747,,16.0,587874763.0,539139747.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,19.079,28.008,,17.0,19079.0,28008.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,133.122.924,101.648.155,,18.0,133122924.0,101648155.0
VII,B > VII,VII,Các khoản nợ khác,,23.922.721,21.614.533,,,23922721.0,21614533.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,8.950.344,7.023.331,,,8950344.0,7023331.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,14.972.377,14.591.202,,19.0,14972377.0,14591202.0
,,,TỔNG NỘ PHẢI TRẢ,,909.444.203,765.378.508,,,909444203.0,765378508.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,20,91.005.607,81.052.897,,20.0,91005607.0,81052897.0
1,B > 1,1,Vốn của tổ chức tín dụng,,51.638.345,44.938.358,,,51638345.0,44938358.0
a,B > a,a,Vốn điều lệ,,51.366.566,44.666.579,,,51366566.0,44666579.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,17.095.256,14.336.576,,,17095256.0,14336576.0
5,B > 5,5,Lợi nhuận chưa phân phối,,22.272.006,21.777.963,,,22272006.0,21777963.0
a,B > a,a,Lợi nhuận năm nay,,11.760.688,12.868.159,,,11760688.0,12868159.0
b,B > b,b,Lợi nhuận lũy kế đến cuối năm trước,,10.511.318,8.909.804,,,10511318.0,8909804.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,91.005.607,81.052.897,,,91005607.0,81052897.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.000.449.810,846.431.405,,,1000449810.0,846431405.0
