row_label_raw,row_label_full,col_0,Thuyết minh,31.12.2025 Triệu VND,31.12.2024 Triệu VND,numeric__Thuyết minh,numeric__31.12.2025 Triệu VND,numeric__31.12.2024 Triệu VND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,11.2,12.005.000,7.505.000,112.0,12005000.0,7505000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,11.3,233.739,241.467,113.0,233739.0,241467.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,11.4,(159.040),(167.932),114.0,-159040.0,-167932.0
,,,,12.079.699,7.578.535,,12079699.0,7578535.0
