row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác (i) Triệu VND,Lợi nhuận chưa phân phối Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác (i) Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,38.840.504,271.779,3.459.083,7.660.332,121,19.019.93,38840504.0,271779.0,3459083.0,7660332.0,121.0,1901993.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,16.085.19,,,,,,1608519.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,1.608.520,1.608.520,-,(3.217.04,,,1608520.0,1608520.0,,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(400.00,,,,,,
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii)) > Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3)",Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),5.826.075,-,-,-,-,(5.826.07,5826075.0,,,,,
Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),-,-,-,-,-,(3.884.05,,,,,,
Tại ngày 31 tháng 12 năm 2024,Chia cổ tức bằng tiền mặt (Thuyết minh 20.3) > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,44.666.579,271.779,5.067.603,9.268.852,121,21.777.96,44666579.0,271779.0,5067603.0,9268852.0,121.0,2177796.0
Lợi nhuận thuần trong năm,Chia cổ tức bằng tiền mặt (Thuyết minh 20.3) > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,14.519.36,,,,,,1451936.0
Trích lập các quỹ,Chia cổ tức bằng tiền mặt (Thuyết minh 20.3) > Trích lập các quỹ,Trích lập các quỹ,-,-,1.451.937,1.306.743,-,(2.758.68,,,1451937.0,1306743.0,,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii))",-,-,-,-,-,(100.00,,,,,,
Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 19(ii)) > Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3)",Chia cổ tức bằng cổ phiếu (Thuyết minh 20.3),6.699.987,-,-,-,-,(6.699.98,6699987.0,,,,,
Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),Chia cổ tức bằng tiền mặt (Thuyết minh 20.3),-,-,-,-,-,(4.466.65,,,,,,
Tại ngày 31 tháng 12 năm 2025,Chia cổ tức bằng tiền mặt (Thuyết minh 20.3) > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,51.366.566,271.779,6.519.540,10.575.595,121,22.272.00,51366566.0,271779.0,6519540.0,10575595.0,121.0,2227200.0
