row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2025Triệu VND,Tại ngày > 31.12.2024Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025Triệu VND,numeric__Tại ngày > 31.12.2024Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,8.624.548,5.696.444,,4.0,8624548.0,5696444.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,16.574.505,25.219.461,,5.0,16574505.0,25219461.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,139.216.637,108.003.288,,6.0,139216637.0,108003288.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,137.921.722,106.836.456,,,137921722.0,106836456.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.294.915,1.216.832,,,1294915.0,1216832.0
3,A > 3,3,Dự phòng rủi ro,6.3,-,(50.000),,63.0,,-50000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,598.006,841.743,,7.0,598006.0,841743.0
1,A > 1,1,Chứng khoán kinh doanh,7.1,598.006,841.743,,71.0,598006.0,841743.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,324.298,55.992,,8.0,324298.0,55992.0
VI,A > VI,VI,Cho vay khách hàng,,660.465.765,563.147.530,,,660465765.0,563147530.0
1,A > 1,1,Cho vay khách hàng,9,667.921.428,569.734.624,,9.0,667921428.0,569734624.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(7.455.663),(6.587.094),,97.0,-7455663.0,-6587094.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,144.164.116,121.090.243,,10.0,144164116.0,121090243.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,132.778.839,108.918.477,,,132778839.0,108918477.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,11.396.527,12.171.766,,,11396527.0,12171766.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(11.250),-,,,-11250.0,
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,12.079.699,7.578.535,,11.0,12079699.0,7578535.0
1,A > 1,1,Đầu tư vào công ty con,11.2,12.005.000,7.505.000,,112.0,12005000.0,7505000.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,233.739,241.467,,113.0,233739.0,241467.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(159.040),(167.932),,114.0,-159040.0,-167932.0
X,A > X,X,Tài sản cố định,,5.352.506,5.326.341,,,5352506.0,5326341.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,3.140.323,3.162.095,,121.0,3140323.0,3162095.0
a,A > a,a,Nguyên giá tài sản cố định,,6.615.697,6.331.878,,,6615697.0,6331878.0
b,A > b,b,Hao mòn tài sản cố định,,(3.475.374),(3.169.783),,,-3475374.0,-3169783.0
3,A > 3,3,Tài sản cố định vô hình,12.2,2.212.183,2.164.246,,122.0,2212183.0,2164246.0
a,A > a,a,Nguyên giá tài sản cố định,,3.029.721,2.870.302,,,3029721.0,2870302.0
b,A > b,b,Hao mòn tài sản cố định,,(817.538),(706.056),,,-817538.0,-706056.0
XII,A > XII,XII,Tài sản Có khác,,13.049.730,9.471.828,,,13049730.0,9471828.0
1,A > 1,1,Các khoản phải thu,13.1,5.455.639,3.547.914,,131.0,5455639.0,3547914.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,6.441.731,4.783.969,,,6441731.0,4783969.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,13.2,17.185,17.190,,132.0,17185.0,17190.0
4,A > 4,4,Tài sản Có khác,13.3,1.312.823,1.295.406,,133.0,1312823.0,1295406.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,13.4,(177.648),(172.651),,134.0,-177648.0,-172651.0
,,,TỔNG TÀI SẢN,,1.000.449.810,846.431.405,,,1000449810.0,846431405.0
