row_label_raw,row_label_full,col_0,USD,Vàng,EUR,JPY,AUD,CAD,Khác,Tổng cộng,numeric__USD,numeric__Vàng,numeric__EUR,numeric__JPY,numeric__AUD,numeric__CAD,numeric__Khác,numeric__Tổng cộng
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.699.843,11.203,11.872,586,55.701,9.480,1.294,1.789.979,1699843.0,11203.0,11872.0,586.0,55701.0,9480.0,1294.0,1789979.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.692.281,-,-,-,-,-,-,1.692.281,1692281.0,,,,,,,1692281.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),18.323.784,-,364.703,841.702,175.279,45.678,119.312,19.870.458,18323784.0,,364703.0,841702.0,175279.0,45678.0,119312.0,19870458.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,(1.851.319),-,-,-,61.688,(19.235),-,(1.808.866),-1851319.0,,,,61688.0,-19235.0,,-1808866.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),17.840.397,-,-,-,-,-,-,17.840.397,17840397.0,,,,,,,17840397.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),64.226,-,-,-,-,-,-,64.226,64226.0,,,,,,,64226.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),292.408,9.348,2,-,-,-,-,301.758,292408.0,9348.0,2.0,,,,,301758.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,38.061.620,20.551,376.577,842.288,292.668,35.923,120.606,39.750.233,38061620.0,20551.0,376577.0,842288.0,292668.0,35923.0,120606.0,39750233.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17.615.357,-,21.803,4.776,-,-,-,17.641.936,17615357.0,,21803.0,4776.0,,,,17641936.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19.655.573,-,331.681,788.675,203.294,23.121,48.371,21.050.715,19655573.0,,331681.0,788675.0,203294.0,23121.0,48371.0,21050715.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,10.759,-,-,-,10.759,,,,10759.0,,,,10759.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,1.073.718,-,21.144,21.273,86.360,7.149,12.659,1.222.303,1073718.0,,21144.0,21273.0,86360.0,7149.0,12659.0,1222303.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,38.344.648,-,374.628,825.483,289.654,30.270,61.030,39.925.713,38344648.0,,374628.0,825483.0,289654.0,30270.0,61030.0,39925713.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(283.028),20.551,1.949,16.805,3.014,5.653,59.576,(175.480),-283028.0,20551.0,1949.0,16805.0,3014.0,5653.0,59576.0,-175480.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,1.008.363,-,-,(14.127),529,(3.847),(4.174),986.744,1008363.0,,,-14127.0,529.0,-3847.0,-4174.0,986744.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",725.335,20.551,1.949,2.678,3.543,1.806,55.402,811.264,725335.0,20551.0,1949.0,2678.0,3543.0,1806.0,55402.0,811264.0
