row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Tại ngày 31 tháng 12 năm 2025,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2025,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2025,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2025,Trên 5 năm > Tại ngày 31 tháng 12 năm 2025,Tổng cộng > Tại ngày 31 tháng 12 năm 2025,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2025,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2025,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2025,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2025
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,8.624.548,-,-,-,-,-,-,8.624.548,,8624548.0,,,,,,,8624548.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,16.574.505,-,-,-,-,-,-,16.574.505,,16574505.0,,,,,,,16574505.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,108.970.050,28.700.297,-,1.080.822,456.468,9.000,139.216.637,,,108970050.0,28700297.0,,1080822.0,456468.0,9000.0,139216637.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,598.006,-,-,-,-,-,-,598.006,,598006.0,,,,,,,598006.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,324.298,-,-,-,-,-,-,324.298,,324298.0,,,,,,,324298.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.840.939,-,9.347.815,624.541.344,19.976.643,4.582.957,275.560,356.170,667.921.428,8840939.0,,9347815.0,624541344.0,19976643.0,4582957.0,275560.0,356170.0,667921428.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,64.226,-,-,-,52.503.873,41.300.000,50.307.267,144.175.366,,64226.0,,,,52503873.0,41300000.0,50307267.0,144175366.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,12.238.739,-,-,-,-,-,-,12.238.739,,12238739.0,,,,,,,12238739.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,5.352.506,-,-,-,-,-,-,5.352.506,,5352506.0,,,,,,,5352506.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),182.541,13.044.837,-,-,-,-,-,-,13.227.378,182541.0,13044837.0,,,,,,,13227378.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,9.023.480,56.821.665,118.317.865,653.241.641,19.976.643,58.167.652,42.032.028,50.672.437,1.008.253.411,9023480.0,56821665.0,118317865.0,653241641.0,19976643.0,58167652.0,42032028.0,50672437.0,1008253411.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,10.824.924,9.449.511,12.701.704,-,-,-,32.976.139,,,10824924.0,9449511.0,12701704.0,,,,32976139.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,101.196.139,22.150.387,8.178.014,4.037,-,-,131.528.577,,,101196139.0,22150387.0,8178014.0,4037.0,,,131528577.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,137.855.421,165.961.466,154.377.379,95.836.354,33.844.143,-,587.874.763,,,137855421.0,165961466.0,154377379.0,95836354.0,33844143.0,,587874763.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,8.320,-,-,-,10.759,19.079,,,,8320.0,,,,10759.0,19079.0
