row_label_raw,row_label_full,Lợi nhuận trước thuế TNDNCác khoản mục điều chỉnh:,Năm 2025Triệu VND > 18.151.048,Năm 2024Triệu VND > 20.118.964,numeric__Năm 2025Triệu VND > 18.151.048,numeric__Năm 2024Triệu VND > 20.118.964
"Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần",57.868,14.492,57868.0,14492.0
"Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần","Trừ (-) Thu nhập được miễn thuế TNDN:- Thu nhập từ góp vốn, mua cổ phần",57.868,14.492,57868.0,14492.0
Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,Cộng (+) Chi phí không được khấu trừ khi xác định thu nhập chịu thuế,33.877,13.516,33877.0,13516.0
Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,Các khoản điều chỉnh làm giảm thu nhập chịu thuế khác,(52.603),(190.566),-52603.0,-190566.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,18.074.454,19.927.422,18074454.0,19927422.0
Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,3.614.891,3.985.484,3614891.0,3985484.0
Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN tính trên thu nhập chịu thuế kỳ hiện hànhĐiều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,16.784,31.936,16784.0,31936.0
Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,3.631.675,4.017.420,3631675.0,4017420.0
Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,2.346.930,2.270.931,2346930.0,2270931.0
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(4.175.131),(3.941.421),-4175131.0,-3941421.0
Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,1.803.474,2.346.930,1803474.0,2346930.0
