row_label_raw,row_label_full,col_0,Năm 2024 > Miền Bắc Triệu VND,Năm 2024 > Miền Trung Triệu VND,Năm 2024 > Miền Nam Triệu VND,Năm 2024 > Loại trừ Triệu VND,Năm 2024 > Tổng cộng Triệu VND,numeric__Năm 2024 > Miền Bắc Triệu VND,numeric__Năm 2024 > Miền Trung Triệu VND,numeric__Năm 2024 > Miền Nam Triệu VND,numeric__Năm 2024 > Loại trừ Triệu VND,numeric__Năm 2024 > Tổng cộng Triệu VND
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,,,,
1. Thu nhập lãi,Thu nhập > 1. Thu nhập lãi,1. Thu nhập lãi,13.501.940,8.654.378,92.344.876,(64.812.673),49.688.521,13501940.0,8654378.0,92344876.0,-64812673.0,49688521.0
Thu nhập lãi từ khách hàng bên ngoài,Thu nhập > Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,7.076.708,6.376.468,36.235.345,-,49.688.521,7076708.0,6376468.0,36235345.0,,49688521.0
Thu nhập lãi từ nội bộ,Thu nhập > Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,6.425.232,2.277.910,56.109.531,(64.812.673),-,6425232.0,2277910.0,56109531.0,-64812673.0,
2. Thu nhập từ hoạt động dịch vụ,Thu nhập > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,259.393,89.264,4.727.264,-,5.075.921,259393.0,89264.0,4727264.0,,5075921.0
3. Thu nhập từ hoạt động kinh doanh khác,Thu nhập > 3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,131.027,141.363,2.527.630,-,2.800.020,131027.0,141363.0,2527630.0,,2800020.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(9.352.014),(6.183.190),(72.024.120),64.812.673,(22.746.651),-9352014.0,-6183190.0,-72024120.0,64812673.0,-22746651.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(3.082.277),(1.083.870),(18.580.504),-,(22.746.651),-3082277.0,-1083870.0,-18580504.0,,-22746651.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(6.269.737),(5.099.320),(53.443.616),64.812.673,-,-6269737.0,-5099320.0,-53443616.0,64812673.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(24.615),(28.344),(355.379),-,(408.338),-24615.0,-28344.0,-355379.0,,-408338.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.490.717),(1.066.519),(10.134.194),-,(12.691.430),-1490717.0,-1066519.0,-10134194.0,,-12691430.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,3.025.014,1.606.952,17.086.077,-,21.718.043,3025014.0,1606952.0,17086077.0,,21718043.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(141.014),(229.540),(1.228.525),-,(1.599.079),-141014.0,-229540.0,-1228525.0,,-1599079.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.884.000,1.377.412,15.857.552,-,20.118.964,2884000.0,1377412.0,15857552.0,,20118964.0
