row_label_raw,row_label_full,col_0,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",18.399,17.878,18399.0,17878.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,5.829.232,6.217.575,5829232.0,6217575.0
- Chi lương và phụ cấp,- Chi lương và phụ cấp,- Chi lương và phụ cấp,2.100.367,2.133.270,2100367.0,2133270.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,472.485,474.840,472485.0,474840.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,13.279,8.059,13279.0,8059.0
- Chi khác cho nhân viên,- Chi khác cho nhân viên,- Chi khác cho nhân viên,3.243.101,3.601.406,3243101.0,3601406.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.606.636,1.608.760,1606636.0,1608760.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,399.023,408.338,399023.0,408338.0
- Chi khác,- Chi khác,- Chi khác,1.207.613,1.200.422,1207613.0,1200422.0
Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,2.247.365,2.105.971,2247365.0,2105971.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng (i)","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng (i)","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng(Hoàn nhập)/trích lập chi phí dự phòng (i)",646.439(3.201),574.9293.727,,5749293727.0
,,,10.344.870,10.528.840,10344870.0,10528840.0
