row_label_raw,row_label_full,col_0,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"1. Tiền mặt,vàng bạc, đá quý","Tài sản > 1. Tiền mặt,vàng bạc, đá quý","1. Tiền mặt,vàng bạc, đá quý",983.744,745.247,6.895.557,-,8.624.548,983744.0,745247.0,6895557.0,,8624548.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,89.091,124.419,5.138.996,-,5.352.506,89091.0,124419.0,5138996.0,,5352506.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,138.174.280,89.841.969,947.393.651,(188.937.144),986.472.756,138174280.0,89841969.0,947393651.0,-188937144.0,986472756.0
,,,139.247.115,90.711.635,959.428.204,(188.937.144),1.000.449.810,139247115.0,90711635.0,959428204.0,-188937144.0,1000449810.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
1. Nợ phải trả kháchhàng bên ngoài,Nợ phải trả > 1. Nợ phải trả kháchhàng bên ngoài,1. Nợ phải trả kháchhàng bên ngoài,100.312.978,43.702.091,756.513.177,-,900.528.246,100312978.0,43702091.0,756513177.0,,900528246.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,35.825.559,45.574.372,108.426.905,(188.937.144),889.692,35825559.0,45574372.0,108426905.0,-188937144.0,889692.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,6.432,6.642,8.013.191,-,8.026.265,6432.0,6642.0,8013191.0,,8026265.0
,,,136.144.969,89.283.105,872.953.273,(188.937.144),909.444.203,136144969.0,89283105.0,872953273.0,-188937144.0,909444203.0
